,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Base,FST
0,12534,0.996067,,,,,,,,,,
1,25034,0.955782,,,,,,,,,,
2,37534,0.885948,,,,,,,,,,
3,50034,0.766901,,,,,,,,,,
4,62534,0.634035,,,,,,,,,,
5,75034,0.507759,,,,,,,,,,
6,87534,0.397215,,,,,,,,,,
7,100034,0.310374,,,,,,,,,,
0,52378,,0.8598,,,,,,,,,
1,78486,,0.630634,,,,,,,,,
2,104523,,0.412521,,,,,,,,,
3,130635,,0.261054,,,,,,,,,
4,156746,,0.14477,,,,,,,,,
5,182854,,0.0876913,,,,,,,,,
0,178160,,,0.0,,,,,,,,
1,164948,,,1.0,,,,,,,,
2,138548,,,1.0,,,,,,,,
3,125348,,,1.0,,,,,,,,
4,98936,,,1.0,,,,,,,,
5,72536,,,1.0,,,,,,,,
6,59320,,,1.0,,,,,,,,
7,32922,,,1.0,,,,,,,,
8,19902,,,1.0,,,,,,,,
9,16267,,,1.0,,,,,,,,
10,16267,,,1.0,,,,,,,,
0,16267,,,,1.0,,,,,,,
1,16267,,,,1.0,,,,,,,
2,16267,,,,1.0,,,,,,,
3,16267,,,,1.0,,,,,,,
4,16267,,,,1.0,,,,,,,
5,16267,,,,1.0,,,,,,,
6,16267,,,,1.0,,,,,,,
7,16267,,,,1.0,,,,,,,
8,16267,,,,1.0,,,,,,,
9,16267,,,,1.0,,,,,,,
10,16267,,,,1.0,,,,,,,
11,16291,,,,0.999787,,,,,,,
12,18237,,,,0.986076,,,,,,,
13,130869,,,,0.274872,,,,,,,
14,178160,,,,0.0,,,,,,,
0,16219,,,,,1.0,,,,,,
0,136573,,,,,,0.0652636,,,,,
1,133449,,,,,,0.0689838,,,,,
2,131574,,,,,,0.0747236,,,,,
3,130323,,,,,,0.080676,,,,,
4,129430,,,,,,0.0896046,,,,,
5,128761,,,,,,0.0923682,,,,,
0,120869,,,,,,,0.0652636,,,,
1,117745,,,,,,,0.0689838,,,,
2,115870,,,,,,,0.0747236,,,,
3,114619,,,,,,,0.080676,,,,
4,113726,,,,,,,0.0896046,,,,
5,113057,,,,,,,0.0923682,,,,
0,105165,,,,,,,,0.0652636,,,
1,102041,,,,,,,,0.0689838,,,
2,100166,,,,,,,,0.0747236,,,
3,98915,,,,,,,,0.080676,,,
4,98022,,,,,,,,0.0896046,,,
5,97353,,,,,,,,0.0923682,,,
0,89461,,,,,,,,,0.0652636,,
1,86337,,,,,,,,,0.0689838,,
2,84462,,,,,,,,,0.0747236,,
3,83211,,,,,,,,,0.080676,,
4,82318,,,,,,,,,0.0896046,,
5,81649,,,,,,,,,0.0923682,,
0,16219,,,,,1.0,,,,,,
1,17483,,,,,1.0,,,,,,
2,18731,,,,,1.0,,,,,,
3,19979,,,,,1.0,,,,,,
4,21227,,,,,1.0,,,,,,
5,22483,,,,,1.0,,,,,,
6,23731,,,,,1.0,,,,,,
7,24979,,,,,1.0,,,,,,
8,26227,,,,,1.0,,,,,,
0,16219,,,,,,,,,,1.0,
0,178128,,,,,,,,,,,0.0
