,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,0.0065,,,,,,,,,,
1,25034,0.0001,,,,,,,,,,
2,37534,0.0,,,,,,,,,,
3,50034,0.0,,,,,,,,,,
4,62534,0.0,,,,,,,,,,
5,75034,0.0,,,,,,,,,,
6,87534,0.0,,,,,,,,,,
7,100034,0.0,,,,,,,,,,
0,55719,,0.7744,,,,,,,,,
1,83483,,0.0527,,,,,,,,,
2,111254,,0.0044,,,,,,,,,
3,139016,,0.0011,,,,,,,,,
4,166775,,0.0001,,,,,,,,,
5,194541,,0.0002,,,,,,,,,
0,75133,,,0.0,,,,,,,,
1,73393,,,0.0,,,,,,,,
2,69929,,,0.0,,,,,,,,
3,52277,,,0.0,,,,,,,,
4,48194,,,0.0,,,,,,,,
5,26233,,,0.0,,,,,,,,
6,19883,,,0.0,,,,,,,,
7,18911,,,0.0,,,,,,,,
8,18041,,,0.0,,,,,,,,
9,18032,,,0.0011,,,,,,,,
10,18032,,,0.0011,,,,,,,,
0,18032,,,,0.0011,,,,,,,
1,18032,,,,0.0011,,,,,,,
2,18032,,,,0.0011,,,,,,,
3,18032,,,,0.0011,,,,,,,
4,18035,,,,0.0011,,,,,,,
5,18074,,,,0.0011,,,,,,,
6,18200,,,,0.0011,,,,,,,
7,18870,,,,0.0011,,,,,,,
8,21143,,,,0.0011,,,,,,,
9,31291,,,,0.0011,,,,,,,
10,47427,,,,0.0011,,,,,,,
11,62503,,,,0.0011,,,,,,,
12,70818,,,,0.0011,,,,,,,
13,74284,,,,0.0011,,,,,,,
14,74951,,,,0.0011,,,,,,,
0,69545,,,,,0.0,,,,,,
1,64951,,,,,0.0,,,,,,
2,62194,,,,,0.0,,,,,,
3,60356,,,,,0.0,,,,,,
4,59044,,,,,0.0,,,,,,
5,58059,,,,,0.0,,,,,,
0,64332,,,,,,0.0002,,,,,
1,59738,,,,,,0.0002,,,,,
2,56981,,,,,,0.0002,,,,,
3,55143,,,,,,0.0002,,,,,
4,53831,,,,,,0.0002,,,,,
5,52846,,,,,,0.0002,,,,,
0,59120,,,,,,,0.0007,,,,
1,54526,,,,,,,0.0007,,,,
2,51769,,,,,,,0.0007,,,,
3,49931,,,,,,,0.0007,,,,
4,48619,,,,,,,0.0007,,,,
5,47634,,,,,,,0.0007,,,,
0,53907,,,,,,,,0.0019,,,
1,49313,,,,,,,,0.0019,,,
2,46556,,,,,,,,0.0019,,,
3,44718,,,,,,,,0.0019,,,
4,43406,,,,,,,,0.0019,,,
5,42421,,,,,,,,0.0019,,,
0,59201,,,,,,,,,0.0004,,
1,60465,,,,,,,,,0.0004,,
2,61713,,,,,,,,,0.0003,,
3,62961,,,,,,,,,0.0001,,
4,64209,,,,,,,,,0.0001,,
5,65465,,,,,,,,,0.0001,,
6,66713,,,,,,,,,0.0001,,
7,67961,,,,,,,,,0.0001,,
8,69209,,,,,,,,,0.0,,
0,59201,,,,,,,,,,0.0004,
0,75101,,,,,,,,,,,0.0
