,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,0.999879,,,,,,,,,,
1,25034,0.995404,,,,,,,,,,
2,37534,0.953798,,,,,,,,,,
3,50034,0.841921,,,,,,,,,,
4,62534,0.67731,,,,,,,,,,
5,75034,0.530116,,,,,,,,,,
6,87534,0.403241,,,,,,,,,,
7,100034,0.320029,,,,,,,,,,
0,53317,,0.969158,,,,,,,,,
1,79887,,0.869981,,,,,,,,,
2,106455,,0.588292,,,,,,,,,
3,133019,,0.191219,,,,,,,,,
4,159583,,0.0428157,,,,,,,,,
5,186145,,0.00967586,,,,,,,,,
0,127694,,,0.0,,,,,,,,
1,114478,,,0.137155,,,,,,,,
2,84665,,,0.403725,,,,,,,,
3,71513,,,0.513062,,,,,,,,
4,46255,,,0.706942,,,,,,,,
5,28460,,,0.814586,,,,,,,,
6,24751,,,0.831277,,,,,,,,
7,23008,,,0.838171,,,,,,,,
8,22934,,,0.838292,,,,,,,,
9,22925,,,0.838413,,,,,,,,
10,22925,,,0.838413,,,,,,,,
0,22925,,,,0.838413,,,,,,,
1,22925,,,,0.838413,,,,,,,
2,22929,,,,0.838413,,,,,,,
3,22961,,,,0.83805,,,,,,,
4,23081,,,,0.836841,,,,,,,
5,23849,,,,0.830552,,,,,,,
6,27101,,,,0.799468,,,,,,,
7,38091,,,,0.701258,,,,,,,
8,60090,,,,0.513062,,,,,,,
9,91884,,,,0.271771,,,,,,,
10,112970,,,,0.103774,,,,,,,
11,122940,,,,0.0286647,,,,,,,
12,126206,,,,0.00592646,,,,,,,
13,126926,,,,0.00108853,,,,,,,
14,127694,,,,0.0,,,,,,,
0,97923,,,,,0.354499,,,,,,
1,94799,,,,,0.356072,,,,,,
2,92924,,,,,0.357039,,,,,,
3,91673,,,,,0.3597,,,,,,
4,90780,,,,,0.360426,,,,,,
5,90111,,,,,0.363691,,,,,,
0,87478,,,,,,0.450048,,,,,
1,84354,,,,,,0.451621,,,,,
2,82479,,,,,,0.452588,,,,,
3,81228,,,,,,0.455249,,,,,
4,80335,,,,,,0.455975,,,,,
5,79666,,,,,,0.45924,,,,,
0,77034,,,,,,,0.576923,,,,
1,73910,,,,,,,0.578495,,,,
2,72035,,,,,,,0.579463,,,,
3,70784,,,,,,,0.582124,,,,
4,69891,,,,,,,0.58285,,,,
5,69222,,,,,,,0.586115,,,,
0,66589,,,,,,,,0.721577,,,
1,63465,,,,,,,,0.723149,,,
2,61590,,,,,,,,0.724117,,,
3,60339,,,,,,,,0.726778,,,
4,59446,,,,,,,,0.727504,,,
5,58777,,,,,,,,0.730769,,,
0,22877,,,,,,,,,0.838413,,
1,24141,,,,,,,,,0.838413,,
2,25389,,,,,,,,,0.806725,,
3,26637,,,,,,,,,0.789671,,
4,27885,,,,,,,,,0.777697,,
5,29133,,,,,,,,,0.771166,,
6,30381,,,,,,,,,0.768263,,
7,31629,,,,,,,,,0.766328,,
8,32885,,,,,,,,,0.765844,,
0,22877,,,,,,,,,,0.838413,
0,127662,,,,,,,,,,,0.0
