,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,0.2771,,,,,,,,,,
1,25034,0.0636,,,,,,,,,,
2,37534,0.0197,,,,,,,,,,
3,50034,0.0073,,,,,,,,,,
4,62534,0.0017,,,,,,,,,,
5,75034,0.0013,,,,,,,,,,
6,87534,0.0009,,,,,,,,,,
7,100034,0.0003,,,,,,,,,,
0,52387,,0.9979,,,,,,,,,
1,78424,,0.9875,,,,,,,,,
2,104544,,0.9598,,,,,,,,,
3,130660,,0.9057,,,,,,,,,
4,156698,,0.8298,,,,,,,,,
5,182815,,0.7116,,,,,,,,,
0,178159,,,0.0,,,,,,,,
1,164947,,,0.0,,,,,,,,
2,138547,,,0.0,,,,,,,,
3,125347,,,0.0,,,,,,,,
4,98935,,,0.0,,,,,,,,
5,72535,,,0.0,,,,,,,,
6,59319,,,0.0,,,,,,,,
7,32925,,,0.0002,,,,,,,,
8,19915,,,0.0154,,,,,,,,
9,16224,,,0.3679,,,,,,,,
10,16224,,,0.3679,,,,,,,,
0,16224,,,,0.3679,,,,,,,
1,16224,,,,0.3679,,,,,,,
2,16224,,,,0.3679,,,,,,,
3,16224,,,,0.3679,,,,,,,
4,16224,,,,0.3679,,,,,,,
5,16224,,,,0.3679,,,,,,,
6,16224,,,,0.3679,,,,,,,
7,16224,,,,0.3679,,,,,,,
8,16224,,,,0.3679,,,,,,,
9,16224,,,,0.3679,,,,,,,
10,16224,,,,0.3679,,,,,,,
11,16260,,,,0.3679,,,,,,,
12,18340,,,,0.3679,,,,,,,
13,130252,,,,0.3564,,,,,,,
14,178159,,,,0.0,,,,,,,
0,136637,,,,,0.0018,,,,,,
1,133513,,,,,0.0018,,,,,,
2,131638,,,,,0.0018,,,,,,
3,130387,,,,,0.0018,,,,,,
4,129494,,,,,0.0018,,,,,,
5,128825,,,,,0.0018,,,,,,
0,120924,,,,,,0.0038,,,,,
1,117800,,,,,,0.0038,,,,,
2,115925,,,,,,0.0038,,,,,
3,114674,,,,,,0.0038,,,,,
4,113781,,,,,,0.0038,,,,,
5,113112,,,,,,0.0038,,,,,
0,105212,,,,,,,0.0115,,,,
1,102088,,,,,,,0.0115,,,,
2,100213,,,,,,,0.0115,,,,
3,98962,,,,,,,0.0115,,,,
4,98069,,,,,,,0.0115,,,,
5,97400,,,,,,,0.0115,,,,
0,89499,,,,,,,,0.0363,,,
1,86375,,,,,,,,0.0363,,,
2,84500,,,,,,,,0.0363,,,
3,83249,,,,,,,,0.0363,,,
4,82356,,,,,,,,0.0363,,,
5,81687,,,,,,,,0.0363,,,
0,16176,,,,,,,,,0.3679,,
1,17432,,,,,,,,,0.3679,,
2,18688,,,,,,,,,0.2014,,
3,19928,,,,,,,,,0.1251,,
4,21184,,,,,,,,,0.0624,,
5,22440,,,,,,,,,0.0308,,
6,23680,,,,,,,,,0.0152,,
7,24936,,,,,,,,,0.0073,,
8,26184,,,,,,,,,0.004,,
0,16176,,,,,,,,,,0.3679,
0,178127,,,,,,,,,,,0.0
