,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.987034,,,,
1,75034,0.854538,,,,
2,137534,0.841572,,,,
3,200034,0.841572,,,,
4,262534,0.841572,,,,
5,325034,0.841572,,,,
6,387534,0.841572,,,,
7,450034,0.841572,,,,
0,89797,,0.0,,,
1,89797,,0.0,,,
2,70792,,0.52269,,,
3,68355,,0.589546,,,
4,68020,,0.595624,,,
5,67935,,0.59765,,,
6,67926,,0.598055,,,
7,67923,,0.599271,,,
8,67923,,0.599271,,,
9,67922,,0.599271,,,
10,67921,,0.599271,,,
11,67921,,0.599271,,,
12,67921,,0.599271,,,
13,67921,,0.599271,,,
14,67921,,0.599271,,,
15,67921,,0.599271,,,
16,67921,,0.599271,,,
17,67921,,0.599271,,,
18,67921,,0.599271,,,
19,67921,,0.599271,,,
0,93461,,,0.740276,,
0,119913,,,,0.653566,
1,109020,,,,0.67423,
2,99943,,,,0.675851,
3,92263,,,,0.694895,
4,85680,,,,0.690843,
5,79974,,,,0.689222,
6,74982,,,,0.70624,
7,70577,,,,0.720016,
8,66661,,,,0.724878,
9,63158,,,,0.737439,
0,105580,,,,,0.41329
