,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.990233,,,,
1,75034,0.847718,,,,
2,137534,0.840941,,,,
3,200034,0.840542,,,,
4,262534,0.840542,,,,
5,325034,0.840542,,,,
6,387534,0.840542,,,,
7,450034,0.840542,,,,
0,89797,,0.0,,,
1,89797,,0.0,,,
2,70792,,0.691648,,,
3,68355,,0.717959,,,
4,68020,,0.721347,,,
5,67935,,0.722743,,,
6,67926,,0.723141,,,
7,67923,,0.723141,,,
8,67923,,0.723141,,,
9,67922,,0.723141,,,
10,67921,,0.723141,,,
11,67921,,0.723141,,,
12,67921,,0.723141,,,
13,67921,,0.723141,,,
14,67921,,0.723141,,,
15,67921,,0.723141,,,
16,67921,,0.723141,,,
17,67921,,0.723141,,,
18,67921,,0.723141,,,
19,67921,,0.723141,,,
0,93461,,,0.836755,,
0,119913,,,,0.634642,
1,109020,,,,0.64421,
2,99943,,,,0.655372,
3,92263,,,,0.668926,
4,85680,,,,0.667331,
5,79974,,,,0.676301,
6,74982,,,,0.685071,
7,70577,,,,0.701814,
8,66661,,,,0.70002,
9,63158,,,,0.711979,
0,105580,,,,,0.449073
