,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.0737857,,,,
0,89797,,0.0,,,
1,89797,,0.0,,,
2,70792,,0.0,,,
3,68355,,0.0,,,
4,68020,,0.0,,,
5,67935,,0.0,,,
6,67926,,0.0,,,
7,67923,,0.0,,,
8,67923,,0.0,,,
9,67922,,0.0,,,
10,67921,,0.0,,,
11,67921,,0.0,,,
12,67921,,0.0,,,
13,67921,,0.0,,,
14,67921,,0.0,,,
15,67921,,0.0,,,
16,67921,,0.0,,,
17,67921,,0.0,,,
18,67921,,0.0,,,
19,67921,,0.0,,,
0,93461,,,0.0,,
0,119913,,,,0.00456283,
1,109020,,,,0.00538334,
2,99943,,,,0.00686426,
3,92263,,,,0.00646401,
4,85680,,,,0.00486302,
5,79974,,,,0.00508315,
6,74982,,,,0.00486302,
7,70577,,,,0.00686426,
8,66661,,,,0.00522324,
9,63158,,,,0.00478297,
0,105580,,,,,0.0
