,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.72895,,,,
1,75034,0.306989,,,,
0,169966,,0.00134741,,,
1,168995,,0.00134741,,,
2,138239,,0.00134741,,,
3,131909,,0.0015924,,,
4,114183,,0.00262133,,,
5,103828,,0.00365026,,,
6,91738,,0.00499767,,,
7,86731,,0.0112693,,,
8,83271,,0.0160709,,,
9,80488,,0.0308925,,,
10,77653,,0.0719763,,,
11,76986,,0.0925059,,,
12,76595,,0.177123,,,
13,76430,,0.227933,,,
14,76394,,0.262794,,,
15,76391,,0.265906,,,
16,76391,,0.265906,,,
17,76391,,0.265906,,,
18,76391,,0.265906,,,
19,76391,,0.265906,,,
0,116247,,,0.246797,,
0,218844,,,,0.276856,
1,198959,,,,0.281462,
2,182387,,,,0.286901,
3,168366,,,,0.289767,
4,156347,,,,0.285872,
5,145931,,,,0.296921,
6,136817,,,,0.300865,
7,128775,,,,0.306009,
8,121627,,,,0.31037,
9,115231,,,,0.313555,
0,183407,,,,,0.00171489
