,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.763754,,,,
1,75034,0.473298,,,,
0,169966,,0.177961,,,
1,168995,,0.183003,,,
2,138239,,0.278759,,,
3,131909,,0.304171,,,
4,114183,,0.368103,,,
5,103828,,0.411826,,,
6,91738,,0.444216,,,
7,86731,,0.470515,,,
8,83271,,0.491167,,,
9,80488,,0.508551,,,
10,77653,,0.528033,,,
11,76986,,0.534124,,,
12,76595,,0.536746,,,
13,76430,,0.538359,,,
14,76394,,0.538722,,,
15,76391,,0.538763,,,
16,76391,,0.538763,,,
17,76391,,0.538763,,,
18,76391,,0.538763,,,
19,76391,,0.538763,,,
0,116247,,,0.538198,,
0,218844,,,,0.379235,
1,198959,,,,0.389642,
2,182387,,,,0.394684,
3,168366,,,,0.401742,
4,156347,,,,0.40743,
5,145931,,,,0.411181,
6,136817,,,,0.416586,
7,128775,,,,0.420821,
8,121627,,,,0.428687,
9,115231,,,,0.436068,
0,183407,,,,,0.294369
