,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.823522,,,,
1,75034,0.146849,,,,
2,137534,0.0797222,,,,
0,368523,,0.00137665,,,
1,368523,,0.00137665,,,
2,317923,,0.00156157,,,
3,302722,,0.0106844,,,
4,253013,,0.0120816,,,
5,223900,,0.0354435,,,
6,190781,,0.0476689,,,
7,168185,,0.0905505,,,
8,145985,,0.10444,,,
9,124010,,0.183156,,,
10,100121,,0.320019,,,
11,91580,,0.34636,,,
12,90948,,0.356182,,,
13,90892,,0.358894,,,
14,90892,,0.358894,,,
15,90892,,0.358894,,,
16,90892,,0.358894,,,
17,90892,,0.358894,,,
18,90892,,0.358894,,,
19,90892,,0.358894,,,
0,91981,,,0.357291,,
0,483541,,,,0.0595656,
1,439592,,,,0.0614765,
2,402968,,,,0.0619491,
3,371978,,,,0.0633668,
4,345416,,,,0.0639832,
5,322395,,,,0.0635723,
6,302252,,,,0.0666954,
7,284479,,,,0.06649,
8,268681,,,,0.0682981,
9,254545,,,,0.0685858,
0,368600,,,,,0.00369845
