,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,1.0,,,,
1,75034,0.997788,,,,
2,137534,0.990998,,,,
3,200034,0.975827,,,,
4,262534,0.956893,,,,
5,325034,0.936988,,,,
6,387534,0.918209,,,,
7,450034,0.901137,,,,
0,735435,,0.0,,,
1,735280,,0.00221162,,,
2,670271,,0.985372,,,
3,622864,,0.999806,,,
4,569742,,1.0,,,
5,521117,,1.0,,,
6,481000,,1.0,,,
7,438552,,1.0,,,
8,393297,,1.0,,,
9,339098,,1.0,,,
10,274235,,1.0,,,
11,217393,,1.0,,,
12,165698,,1.0,,,
13,125448,,1.0,,,
14,99273,,1.0,,,
15,87450,,1.0,,,
16,86820,,1.0,,,
17,86820,,1.0,,,
18,86820,,1.0,,,
19,86820,,1.0,,,
0,86779,,,1.0,,
0,1078115,,,,0.519575,
1,980115,,,,0.540139,
2,898449,,,,0.556823,
3,829347,,,,0.570403,
4,770117,,,,0.581384,
5,718784,,,,0.596943,
6,673867,,,,0.608544,
7,634235,,,,0.621814,
8,599007,,,,0.636868,
9,567487,,,,0.645327,
0,735404,,,,,0.0
