,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,1.0,,,,
1,75034,1.0,,,,
2,137534,1.0,,,,
3,200034,0.999226,,,,
4,262534,0.997788,,,,
5,325034,0.996627,,,,
6,387534,0.995576,,,,
7,450034,0.994692,,,,
0,455130,,0.0,,,
1,454998,,0.000331767,,,
2,391145,,0.207907,,,
3,344088,,0.340116,,,
4,294806,,0.477689,,,
5,252005,,0.585568,,,
6,218673,,0.658114,,,
7,188207,,0.724689,,,
8,159976,,0.782306,,,
9,134055,,0.824882,,,
10,118678,,0.849101,,,
11,114445,,0.854189,,,
12,110386,,0.86005,,,
13,109223,,0.861156,,,
14,108911,,0.861211,,,
15,108658,,0.861322,,,
16,108308,,0.861322,,,
17,108036,,0.861322,,,
18,108036,,0.861322,,,
19,108036,,0.861322,,,
0,112747,,,0.848825,,
0,685961,,,,0.657783,
1,623610,,,,0.669947,
2,571652,,,,0.678629,
3,527687,,,,0.694719,
4,490002,,,,0.699696,
5,457342,,,,0.708156,
6,428765,,,,0.717058,
7,403550,,,,0.724357,
8,381136,,,,0.733481,
9,361082,,,,0.742217,
0,455580,,,,,0.00602709
