,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,1.0,,,,
1,75034,0.995687,,,,
2,137534,0.947146,,,,
3,200034,0.846686,,,,
4,262534,0.727396,,,,
5,325034,0.640294,,,,
6,387534,0.59024,,,,
7,450034,0.560305,,,,
0,453284,,0.0,,,
1,453115,,0.00218882,,,
2,389307,,0.975344,,,
3,342348,,0.978627,,,
4,293421,,0.979496,,,
5,250660,,0.98117,,,
6,217288,,0.982489,,,
7,187285,,0.984356,,,
8,159251,,0.985966,,,
9,133353,,0.987286,,,
10,118221,,0.987962,,,
11,114183,,0.988058,,,
12,110096,,0.98809,,,
13,108985,,0.98809,,,
14,108602,,0.98809,,,
15,108423,,0.98809,,,
16,108272,,0.98809,,,
17,108072,,0.98809,,,
18,108000,,0.98809,,,
19,108000,,0.98809,,,
0,112834,,,0.978949,,
0,683357,,,,0.607783,
1,621243,,,,0.618599,
2,569482,,,,0.628255,
3,525683,,,,0.633341,
4,488142,,,,0.638073,
5,455606,,,,0.644736,
6,427138,,,,0.652622,
7,402018,,,,0.658126,
8,379690,,,,0.663952,
9,359712,,,,0.6701,
0,453686,,,,,0.00511797
