,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.827322,,,,
1,75034,0.0359479,,,,
2,137534,0.00504111,,,,
3,200034,0.00244054,,,,
4,262534,0.00160035,,,,
5,325034,0.00102022,,,,
6,387534,0.000580128,,,,
7,450034,0.00050011,,,,
0,455130,,0.0,,,
1,454998,,0.0,,,
2,391145,,0.0,,,
3,344088,,0.0,,,
4,294806,,0.0,,,
5,252005,,0.0,,,
6,218673,,0.0,,,
7,188207,,0.0,,,
8,159976,,0.0,,,
9,134055,,0.0,,,
10,118678,,2.00044e-05,,,
11,114445,,6.00132e-05,,,
12,110386,,0.000260057,,,
13,109223,,0.000560123,,,
14,108911,,0.00104023,,,
15,108658,,0.00560123,,,
16,108308,,0.0131229,,,
17,108036,,0.0536318,,,
18,108036,,0.0536318,,,
19,108036,,0.0536318,,,
0,112747,,,0.0535718,,
0,685961,,,,0.00132029,
1,623610,,,,0.00114025,
2,571652,,,,0.00114025,
3,527687,,,,0.00126028,
4,490002,,,,0.00132029,
5,457342,,,,0.0013603,
6,428765,,,,0.0013803,
7,403550,,,,0.00142031,
8,381136,,,,0.00146032,
9,361082,,,,0.00154034,
0,455580,,,,,0.0
