memoryUsage	FPR Prefix-BF	PF Prob BF	FPR Prefix-QF	FP Prob QF	SuRF Real
127	0.66	0.736315			
252	0.37	0.486497			
377	0.24	0.346681			
502	0.18	0.23668			
627	0.12	0.166903			
752	0.07	0.115144			
877	0.06	0.0807881			
1002	0.02	0.0560172			
1127	0.02	0.0391864			
1252	0.01	0.0272522			
1377	0.01	0.0190268			
1502	0.01	0.0132581			
1627	0	0.00924366			
1752	0	0.00645005			
1877	0	0.00449237			
2002	0	0.00313793			
2127	0	0.00218378			
2252	0	0.0015266			
2377	0	0.00106173			
2502	0	0.000742685			
1024			0.13	0.234047	
1280			0.06	0.124805	
1536			0.04	0.0644797	
1792			0	0.0327765	
2048			0	0.0165247	
2304			0	0.00829672	
2560			0	0.00415699	
2816			0	0.00208066	
981					0
997					0
1013					0
1021					0
1037					0
1045					0
1061					0
1069					0
1085					0
