,Memory usage,Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF Real,FST
0,46754,0.71465,,,,,,
1,93431,0.462409,,,,,,
2,140112,0.320816,,,,,,
3,186788,0.214644,,,,,,
4,233462,0.146695,,,,,,
5,280144,0.101183,,,,,,
6,326820,0.0658193,,,,,,
7,373498,0.0478241,,,,,,
8,420176,0.0330178,,,,,,
9,466851,0.0217879,,,,,,
0,25118,,0.94147,,,,,
1,41786,,0.834068,,,,,
2,58453,,0.721074,,,,,
3,75122,,0.626565,,,,,
4,91790,,0.552351,,,,,
5,108458,,0.487398,,,,,
6,125128,,0.434175,,,,,
7,141793,,0.394996,,,,,
8,158462,,0.360588,,,,,
9,175129,,0.327035,,,,,
0,40275,,,0.927689,,,,
1,57795,,,0.801483,,,,
2,75310,,,0.678432,,,,
3,92830,,,0.579333,,,,
4,110349,,,0.500951,,,,
5,127870,,,0.443264,,,,
6,145387,,,0.395349,,,,
7,162904,,,0.354871,,,,
8,180423,,,0.315053,,,,
9,197941,,,0.2865,,,,
0,68373,,,,0.910502,,,
1,86958,,,,0.759707,,,
2,105552,,,,0.630619,,,
3,124142,,,,0.534208,,,
4,142733,,,,0.453799,,,
5,161322,,,,0.396544,,,
6,179914,,,,0.351112,,,
7,198504,,,,0.305862,,,
8,217095,,,,0.273801,,,
9,235685,,,,0.251352,,,
0,112009,,,,,0.885616,,
1,131971,,,,,0.709571,,
2,151932,,,,,0.574344,,
3,171893,,,,,0.474676,,
4,191855,,,,,0.40151,,
5,211816,,,,,0.347593,,
6,231777,,,,,0.29494,,
7,251737,,,,,0.262822,,
8,271699,,,,,0.235043,,
9,291660,,,,,0.202367,,
0,454679,,,,,,0.162811,
0,555967,,,,,,,0.0
