,Memory usage,Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF Real,FST
0,46754,0.653119,,,,,,
1,93431,0.412444,,,,,,
2,140112,0.279498,,,,,,
3,186788,0.189316,,,,,,
4,233462,0.129765,,,,,,
5,280144,0.0875206,,,,,,
6,326820,0.059941,,,,,,
7,373498,0.0413545,,,,,,
8,420176,0.02851,,,,,,
9,466851,0.0187566,,,,,,
0,25118,,0.933787,,,,,
1,41786,,0.814025,,,,,
2,58453,,0.688641,,,,,
3,75122,,0.589896,,,,,
4,91790,,0.512589,,,,,
5,108458,,0.444576,,,,,
6,125128,,0.394038,,,,,
7,141793,,0.358305,,,,,
8,158462,,0.323093,,,,,
9,175129,,0.295503,,,,,
0,40275,,,0.911759,,,,
1,57795,,,0.774841,,,,
2,75310,,,0.641234,,,,
3,92830,,,0.540259,,,,
4,110349,,,0.462122,,,,
5,127870,,,0.402321,,,,
6,145387,,,0.355464,,,,
7,162904,,,0.320532,,,,
8,180423,,,0.280918,,,,
9,197941,,,0.253719,,,,
0,68373,,,,0.874226,,,
1,86958,,,,0.715751,,,
2,105552,,,,0.578402,,,
3,124142,,,,0.482559,,,
4,142733,,,,0.407983,,,
5,161322,,,,0.355715,,,
6,179914,,,,0.31286,,,
7,198504,,,,0.273866,,,
8,217095,,,,0.245876,,,
9,235685,,,,0.221277,,,
0,112009,,,,,0.821518,,
1,131971,,,,,0.647207,,
2,151932,,,,,0.518101,,
3,171893,,,,,0.420427,,
4,191855,,,,,0.356985,,
5,211816,,,,,0.307518,,
6,231777,,,,,0.264753,,
7,251737,,,,,0.232361,,
8,271699,,,,,0.206592,,
9,291660,,,,,0.178222,,
0,454679,,,,,,0.669764,
0,555967,,,,,,,0.0
