,Memory usage,Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF Real,FST
0,46956,0.514959,,,,,,
1,93840,0.158537,,,,,,
2,140722,0.0673082,,,,,,
3,187606,0.033957,,,,,,
4,234488,0.0171249,,,,,,
5,281373,0.00989529,,,,,,
6,328254,0.00598766,,,,,,
7,375136,0.00445288,,,,,,
8,422023,0.00286762,,,,,,
9,468901,0.00244353,,,,,,
0,28573,,0.925048,,,,,
1,45969,,0.820037,,,,,
2,63368,,0.678181,,,,,
3,80765,,0.541585,,,,,
4,98162,,0.432182,,,,,
5,115559,,0.340671,,,,,
6,132957,,0.275039,,,,,
7,150354,,0.223704,,,,,
8,167751,,0.186748,,,,,
9,185148,,0.157497,,,,,
0,48983,,,0.869342,,,,
1,67430,,,0.738572,,,,
2,85878,,,0.586064,,,,
3,104323,,,0.444975,,,,
4,122772,,,0.345709,,,,
5,141219,,,0.265042,,,,
6,159666,,,0.210285,,,,
7,178112,,,0.16923,,,,
8,196561,,,0.137706,,,,
9,215008,,,0.11425,,,,
0,92482,,,,0.740955,,,
1,112278,,,,0.593637,,,
2,132077,,,,0.438897,,,
3,151874,,,,0.320072,,,
4,171671,,,,0.238517,,,
5,191468,,,,0.181669,,,
6,211264,,,,0.142512,,,
7,231062,,,,0.112766,,,
8,250858,,,,0.0895423,,,
9,270656,,,,0.0745782,,,
0,171426,,,,,0.530176,,
1,192972,,,,,0.39249,,
2,214518,,,,,0.271949,,
3,236064,,,,,0.189555,,
4,257610,,,,,0.137696,,
5,279156,,,,,0.103275,,
6,300702,,,,,0.0791522,,
7,322248,,,,,0.0620879,,
8,343794,,,,,0.050779,,
9,365340,,,,,0.0425699,,
0,220474,,,,,,0.502186,
0,870836,,,,,,,0.0
