,Memory usage,Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF Real,FST
0,51042,0.345631,,,,,,
1,101992,0.0758068,,,,,,
2,152947,0.0241322,,,,,,
3,203894,0.00640058,,,,,,
4,254850,0.00196018,,,,,,
5,305800,0.000710064,,,,,,
6,356753,0.000250023,,,,,,
7,407701,0.000120011,,,,,,
8,458657,0.000100009,,,,,,
9,509608,8.00072e-05,,,,,,
0,71635,,0.00161014,,,,,
1,94816,,0.0011101,,,,,
2,117998,,0.000850077,,,,,
3,141180,,0.000450041,,,,,
4,164362,,0.00044004,,,,,
5,187542,,0.00033003,,,,,
6,210725,,0.000300027,,,,,
7,233905,,0.000170015,,,,,
8,257088,,0.000260023,,,,,
9,280269,,0.000180016,,,,,
0,115539,,,5.00045e-05,,,,
1,140461,,,5.00045e-05,,,,
2,165383,,,4.00036e-05,,,,
3,190302,,,3.00027e-05,,,,
4,215224,,,2.00018e-05,,,,
5,240143,,,2.00018e-05,,,,
6,265065,,,3.00027e-05,,,,
7,289987,,,2.00018e-05,,,,
8,314910,,,3.00027e-05,,,,
9,339828,,,2.00018e-05,,,,
0,176049,,,,0.0,,,
1,203178,,,,0.0,,,
2,230308,,,,0.0,,,
3,257437,,,,0.0,,,
4,284571,,,,0.0,,,
5,311695,,,,0.0,,,
6,338825,,,,0.0,,,
7,365954,,,,0.0,,,
8,393084,,,,0.0,,,
9,420212,,,,0.0,,,
0,252620,,,,,0.0,,
1,282612,,,,,0.0,,
2,312603,,,,,0.0,,
3,342595,,,,,0.0,,
4,372587,,,,,0.0,,
5,402579,,,,,0.0,,
6,432571,,,,,0.0,,
7,462562,,,,,0.0,,
8,492555,,,,,0.0,,
9,522545,,,,,0.0,,
0,210966,,,,,,0.165145,
0,903412,,,,,,,0.0
