,Memory usage,Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF Real,FST
0,51042,0.495707,,,,,,
1,101992,0.166625,,,,,,
2,152947,0.0793297,,,,,,
3,203894,0.0456393,,,,,,
4,254850,0.0282937,,,,,,
5,305800,0.0192959,,,,,,
6,356753,0.0135587,,,,,,
7,407701,0.00935901,,,,,,
8,458657,0.00719209,,,,,,
9,509608,0.00506645,,,,,,
0,71635,,0.786538,,,,,
1,94816,,0.669938,,,,,
2,117998,,0.528768,,,,,
3,141180,,0.406926,,,,,
4,164362,,0.314584,,,,,
5,187542,,0.248813,,,,,
6,210725,,0.196642,,,,,
7,233905,,0.162611,,,,,
8,257088,,0.133162,,,,,
9,280269,,0.109935,,,,,
0,115539,,,0.670722,,,,
1,140461,,,0.547373,,,,
2,165383,,,0.409,,,,
3,190302,,,0.306247,,,,
4,215224,,,0.230209,,,,
5,240143,,,0.179121,,,,
6,265065,,,0.142758,,,,
7,289987,,,0.113237,,,,
8,314910,,,0.0931257,,,,
9,339828,,,0.0790511,,,,
0,176049,,,,0.543803,,,
1,203178,,,,0.410537,,,
2,230308,,,,0.29664,,,
3,257437,,,,0.214586,,,
4,284571,,,,0.159299,,,
5,311695,,,,0.121853,,,
6,338825,,,,0.0964483,,,
7,365954,,,,0.0773072,,,
8,393084,,,,0.0640065,,,
9,420212,,,,0.0525735,,,
0,252620,,,,,0.40964,,
1,282612,,,,,0.288623,,
2,312603,,,,,0.195621,,
3,342595,,,,,0.137496,,
4,372587,,,,,0.101845,,
5,402579,,,,,0.0784423,,
6,432571,,,,,0.0608387,,
7,462562,,,,,0.0488484,,
8,492555,,,,,0.0413158,,
9,522545,,,,,0.0343508,,
0,210966,,,,,,0.360471,
0,903412,,,,,,,0.0
