,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Bloom Filter,SuRF Real,SuRF Base,FST
0,1412317,1.00043e-05,,,,,,
1,1281903,1.00043e-05,,,,,,
2,1081108,0.000100043,,,,,,
3,904227,0.000330142,,,,,,
4,699931,0.00124053,,,,,,
5,491905,0.00737317,,,,,,
6,327599,0.0339646,,,,,,
7,182339,0.154296,,,,,,
8,164186,0.194754,,,,,,
9,164186,0.194754,,,,,,
10,164186,0.194754,,,,,,
0,164186,,0.194754,,,,,
1,164186,,0.194754,,,,,
2,164267,,0.194674,,,,,
3,164739,,0.194474,,,,,
4,166698,,0.193713,,,,,
5,173282,,0.192183,,,,,
6,191639,,0.188301,,,,,
7,258889,,0.179327,,,,,
8,346440,,0.16334,,,,,
9,496004,,0.138089,,,,,
10,708636,,0.104835,,,,,
11,955698,,0.0678592,,,,,
12,1174418,,0.0350551,,,,,
13,1321250,,0.0136459,,,,,
14,1388598,,0.00356153,,,,,
0,577425,,,1.00043e-05,,,,
1,597578,,,1.00043e-05,,,,
2,617732,,,1.00043e-05,,,,
3,637884,,,0.0,,,,
4,658038,,,1.00043e-05,,,,
5,678191,,,0.0,,,,
6,698346,,,1.00043e-05,,,,
7,718499,,,0.0,,,,
8,738652,,,0.0,,,,
9,758806,,,0.0,,,,
0,50240,,,,0.706694,,,
1,100407,,,,0.275328,,,
2,150569,,,,0.121302,,,
3,200736,,,,0.0630071,,,
4,250900,,,,0.0366558,,,
5,301065,,,,0.018718,,,
6,351233,,,,0.0102944,,,
7,401397,,,,0.00622268,,,
8,451560,,,,0.00402173,,,
9,501728,,,,0.00249107,,,
0,164174,,,,,0.194964,,
1,176678,,,,,0.194964,,
2,189174,,,,,0.194754,,
3,201678,,,,,0.194754,,
4,214174,,,,,0.0986924,,
5,250644,,,,,0.053443,,
6,263148,,,,,0.027822,,
7,275644,,,,,0.0135558,,
8,288140,,,,,0.00734316,,
0,164174,,,,,,0.194964,
0,1412286,,,,,,,0.0
