,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Bloom Filter,SuRF Base,FST
0,869585,0.00848168,,,,,
1,742831,0.0308572,,,,,
2,530175,0.0784656,,,,,
3,388155,0.17865,,,,,
4,276907,0.342165,,,,,
5,225705,0.464029,,,,,
6,215239,0.50154,,,,,
7,213486,0.509072,,,,,
8,213121,0.510062,,,,,
9,212713,0.510122,,,,,
10,212713,0.510122,,,,,
0,212713,,0.510122,,,,
1,212713,,0.510122,,,,
2,220059,,0.497642,,,,
3,243379,,0.467633,,,,
4,291411,,0.419894,,,,
5,371361,,0.348971,,,,
6,474128,,0.266426,,,,
7,586557,,0.182245,,,,
8,706386,,0.112019,,,,
9,782955,,0.0616133,,,,
10,830379,,0.0314529,,,,
11,853795,,0.0166604,,,,
12,863731,,0.0114099,,,,
13,867282,,0.00925917,,,,
14,868708,,0.00866343,,,,
0,92482,,,0.740955,,,
1,112278,,,0.593637,,,
2,132077,,,0.438897,,,
3,151874,,,0.320072,,,
4,171671,,,0.238517,,,
5,191468,,,0.181669,,,
6,211264,,,0.142512,,,
7,231062,,,0.112766,,,
8,250858,,,0.0895423,,,
9,270656,,,0.0745782,,,
0,46956,,,,0.514959,,
1,93840,,,,0.158537,,
2,140722,,,,0.0673082,,
3,187606,,,,0.033957,,
4,234488,,,,0.0171249,,
5,281373,,,,0.00989529,,
6,328254,,,,0.00598766,,
7,375136,,,,0.00445288,,
8,422023,,,,0.00286762,,
9,468901,,,,0.00244353,,
0,220474,,,,,0.502186,
0,870836,,,,,,0.0
