,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Bloom Filter,SuRF Base,FST
0,899548,0.0203277,,,,,
1,780292,0.0491167,,,,,
2,608966,0.100947,,,,,
3,481444,0.158907,,,,,
4,367411,0.225865,,,,,
5,288727,0.291244,,,,,
6,212616,0.331589,,,,,
7,197686,0.355611,,,,,
8,194490,0.362566,,,,,
9,194447,0.362948,,,,,
10,194447,0.362948,,,,,
0,194447,,0.362948,,,,
1,194447,,0.362948,,,,
2,203872,,0.350937,,,,
3,225870,,0.327864,,,,
4,300618,,0.297105,,,,
5,356513,,0.256078,,,,
6,427262,,0.214824,,,,
7,510791,,0.172631,,,,
8,599717,,0.132151,,,,
9,688908,,0.0948489,,,,
10,766622,,0.0655956,,,,
11,825980,,0.0445662,,,,
12,864171,,0.0313996,,,,
13,884688,,0.0246719,,,,
14,894565,,0.0218342,,,,
0,176049,,,0.543803,,,
1,203178,,,0.410537,,,
2,230308,,,0.29664,,,
3,257437,,,0.214586,,,
4,284571,,,0.159299,,,
5,311695,,,0.121853,,,
6,338825,,,0.0964483,,,
7,365954,,,0.0773072,,,
8,393084,,,0.0640065,,,
9,420212,,,0.0525735,,,
0,51042,,,,0.495707,,
1,101992,,,,0.166625,,
2,152947,,,,0.0793297,,
3,203894,,,,0.0456393,,
4,254850,,,,0.0282937,,
5,305800,,,,0.0192959,,
6,356753,,,,0.0135587,,
7,407701,,,,0.00935901,,
8,458657,,,,0.00719209,,
9,509608,,,,0.00506645,,
0,210966,,,,,0.360471,
0,903412,,,,,,0.0
