,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting
0,1250002,0.00147001,0.0,,
1,1375002,0.000770008,0.0,,
2,1500002,0.000400004,0.0,,
3,1625002,0.000190002,0.0,,
4,1750002,0.000130001,0.0,,
5,1875002,2.00002e-05,0.0,,
6,2000002,5.00005e-05,0.0,,
7,2125002,2.00002e-05,0.0,,
8,2250002,2.00002e-05,0.0,,
9,2375002,0.0,0.0,,
10,2500002,0.0,0.0,,
11,2625002,0.0,0.0,,
12,2750002,0.0,0.0,,
13,2875002,0.0,0.0,,
14,3000002,0.0,0.0,,
15,3125002,0.0,0.0,,
16,1310720,,,0.0736707,0.00542005
17,1572864,,,0.0381204,0.00151002
18,1835008,,,0.0197702,0.000330003
19,2097152,,,0.0104801,8.00008e-05
20,2359296,,,0.00506005,1.00001e-05
21,2621440,,,0.00250003,0.0
22,2883584,,,0.00117001,0.0
23,3145728,,,0.000670007,0.0
24,3407872,,,0.000320003,0.0
25,3670016,,,0.000220002,0.0
26,3932160,,,0.000120001,0.0
