,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting
0,1250002,0.00157614,9.09311e-05,,
1,1375002,0.000656725,4.04138e-05,,
2,1500002,0.000404138,1.01035e-05,,
3,1625002,0.000242483,2.02069e-05,,
4,1750002,0.000111138,0.0,,
5,1875002,7.07242e-05,0.0,,
6,2000002,2.02069e-05,0.0,,
7,2125002,3.03104e-05,0.0,,
8,2250002,0.0,0.0,,
9,2375002,0.0,0.0,,
10,2500002,0.0,0.0,,
11,2625002,0.0,0.0,,
12,2750002,0.0,0.0,,
13,2875002,0.0,0.0,,
14,3000002,0.0,0.0,,
15,3125002,0.0,0.0,,
16,1310720,,,0.0728257,0.00764832
17,1572864,,,0.0372717,0.00264711
18,1835008,,,0.0184792,0.000899208
19,2097152,,,0.0096387,0.000313207
20,2359296,,,0.00451625,0.000111138
21,2621440,,,0.00226317,4.04138e-05
22,2883584,,,0.00105076,2.02069e-05
23,3145728,,,0.000545587,2.02069e-05
24,3407872,,,0.000313207,1.01035e-05
25,3670016,,,0.000181862,0.0
26,3932160,,,8.08277e-05,0.0
