,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting
0,1250002,0.011678,0.011678,,
1,1375002,0.00734448,0.00734448,,
2,1500002,0.00464541,0.00464541,,
3,1625002,0.00266681,0.00266681,,
4,1750002,0.00202161,0.00202161,,
5,1875002,0.00117211,0.00117211,,
6,2000002,0.000860261,0.000860261,,
7,2125002,0.000430131,0.000430131,,
8,2250002,0.000333351,0.000333351,,
9,2375002,0.000182806,0.000182806,,
10,2500002,0.000118286,0.000118286,,
11,2625002,4.30131e-05,4.30131e-05,,
12,2750002,5.37663e-05,5.37663e-05,,
13,2875002,4.30131e-05,4.30131e-05,,
14,3000002,3.22598e-05,3.22598e-05,,
15,3125002,0.0,0.0,,
16,1310720,,,0.117522,0.117522
17,1572864,,,0.0600355,0.0600355
18,1835008,,,0.0301844,0.0301844
19,2097152,,,0.0154417,0.0154417
20,2359296,,,0.00798968,0.00798968
21,2621440,,,0.00392494,0.00392494
22,2883584,,,0.00210764,0.00210764
23,3145728,,,0.00109683,0.00109683
24,3407872,,,0.000537663,0.000537663
25,3670016,,,0.000247325,0.000247325
26,3932160,,,0.000129039,0.000129039
