,Memory usage,FPR Prefix-BF,FP Prob BF,FPR Prefix-QF,FP Prob QF,FPR SuRFReal
0,125002,0.479674,0.751169,,,
1,250002,0.278348,0.50117,,,
2,375002,0.19752,0.371023,,,
3,500002,0.0773103,0.251171,,,
4,625002,0.052668,0.182095,,,
5,750002,0.0224246,0.12588,,,
6,875002,0.0147297,0.0905568,,,
7,1000002,0.00578667,0.0630871,,,
8,1125002,0.00410534,0.0452019,,,
9,1250002,0.00195983,0.0316174,,,
10,1375002,0.00106244,0.0225979,,,
11,1500002,0.000474486,0.0158457,,,
12,1625002,0.000216613,0.0113065,,,
13,1750002,0.000103149,0.00794137,,,
14,1875002,9.28342e-05,0.00565969,,,
15,2000002,9.28342e-05,0.00397998,,,
16,2125002,6.18895e-05,0.00283389,,,
17,2250002,1.03149e-05,0.00199465,,,
18,2375002,0.0,0.00141926,,,
19,2500002,0.0,0.000999657,,,
20,2625002,0.0,0.000710883,,,
21,2750002,0.0,0.000500998,,,
22,2875002,0.0,0.000356107,,,
23,3000002,0.0,0.000251085,,,
24,3125002,0.0,0.0001784,,,
25,1310720,,,0.0760828,0.0751079,
26,1572864,,,0.0381961,0.0382869,
27,1835008,,,0.0192889,0.0193303,
28,2097152,,,0.00986106,0.0097123,
29,2359296,,,0.00507494,0.004868,
30,2621440,,,0.00249621,0.00243697,
31,2883584,,,0.0012481,0.00121923,
32,3145728,,,0.00058795,0.0006098,
33,3407872,,,0.000288818,0.000304946,
34,3670016,,,0.000144409,0.000152485,
35,3932160,,,7.22044e-05,7.62453e-05,
36,211729,,,,,0.35933
37,224233,,,,,0.35933
38,274389,,,,,0.348108
39,286885,,,,,0.348108
40,299389,,,,,0.257986
41,311885,,,,,0.214602
42,324389,,,,,0.189733
43,336885,,,,,0.17687
44,349389,,,,,0.169742
