,Memory usage,Prefix-BF Creation time,Prefix-BF+Doubting Creation time,Prefix-QF Creation time,Prefix-QF+Doubting Creation time
0,625002,0.866591,0.847694,,
1,750002,0.960682,0.869438,,
2,875002,1.10462,1.00117,,
3,1000002,1.04027,1.06571,,
4,1125002,1.09771,1.11724,,
5,1250002,1.15705,1.16929,,
6,1375002,1.1991,1.28323,,
7,1500002,1.25194,1.45393,,
8,1625002,1.30473,1.36537,,
9,1750002,1.36673,1.37689,,
10,1875002,1.41516,1.4306,,
11,2000002,1.47107,1.4765,,
12,2125002,1.50915,1.53006,,
13,2250002,1.58322,1.588,,
14,2375002,1.72488,1.70208,,
15,2500002,1.8002,1.75618,,
16,2625002,1.81724,1.82473,,
17,2750002,1.87032,1.85663,,
18,2875002,1.91462,1.9485,,
19,3000002,1.98507,1.97224,,
20,3125002,2.04825,2.11251,,
21,1310720,,,0.688787,0.731099
22,1572864,,,0.681546,0.627878
23,1835008,,,0.662143,0.621671
24,2097152,,,0.691442,0.696887
25,2359296,,,0.600828,0.604732
26,2621440,,,0.623584,0.667034
27,2883584,,,0.65499,0.667242
28,3145728,,,0.699389,0.646966
29,3407872,,,0.681419,0.593642
30,3670016,,,0.594814,0.608582
31,3932160,,,0.636729,0.662282
