,Memory usage,Prefix-BF Query time,Prefix-BF+Doubting Query time,Prefix-QF Query time,Prefix-QF+Doubting Query time
0,625002,2.19291e-07,2.16621e-07,,
1,750002,2.46381e-07,2.18403e-07,,
2,875002,2.35031e-07,2.3924e-07,,
3,1000002,2.45627e-07,2.325e-07,,
4,1125002,2.41567e-07,2.4985e-07,,
5,1250002,2.39861e-07,2.36391e-07,,
6,1375002,2.38864e-07,3.17259e-07,,
7,1500002,2.39438e-07,2.30537e-07,,
8,1625002,2.41319e-07,2.30587e-07,,
9,1750002,2.40656e-07,2.30587e-07,,
10,1875002,2.45379e-07,2.29716e-07,,
11,2000002,2.37086e-07,2.29841e-07,,
12,2125002,2.40206e-07,2.30302e-07,,
13,2250002,2.60271e-07,2.32267e-07,,
14,2375002,2.46592e-07,2.36661e-07,,
15,2500002,2.46538e-07,2.63377e-07,,
16,2625002,2.87056e-07,2.35156e-07,,
17,2750002,2.52774e-07,2.46826e-07,,
18,2875002,2.32791e-07,2.47031e-07,,
19,3000002,2.47036e-07,2.58764e-07,,
20,3125002,2.56959e-07,2.62203e-07,,
21,1310720,,,1.52894e-07,1.29904e-07
22,1572864,,,2.01144e-07,1.23116e-07
23,1835008,,,1.84884e-07,1.67206e-07
24,2097152,,,1.20624e-07,1.49617e-07
25,2359296,,,1.25986e-07,1.11668e-07
26,2621440,,,1.44633e-07,1.59631e-07
27,2883584,,,1.38563e-07,1.4169e-07
28,3145728,,,1.82885e-07,1.32544e-07
29,3407872,,,1.44975e-07,1.36081e-07
30,3670016,,,1.43615e-07,1.80864e-07
31,3932160,,,1.45389e-07,1.44597e-07
