,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting
0,625002,0.0233996,0.00105076,,
1,750002,0.0104066,0.000323311,,
2,875002,0.00518307,0.000121242,,
3,1000002,0.00260669,0.000101035,,
4,1125002,0.001172,2.02069e-05,,
5,1250002,0.000545587,1.01035e-05,,
6,1375002,0.00026269,0.0,,
7,1500002,8.08277e-05,0.0,,
8,1625002,9.09311e-05,1.01035e-05,,
9,1750002,1.01035e-05,0.0,,
10,1875002,2.02069e-05,0.0,,
11,2000002,1.01035e-05,0.0,,
12,2125002,1.01035e-05,0.0,,
13,2250002,0.0,0.0,,
14,2375002,0.0,0.0,,
15,2500002,0.0,0.0,,
16,2625002,0.0,0.0,,
17,2750002,0.0,0.0,,
18,2875002,0.0,0.0,,
19,3000002,0.0,0.0,,
20,3125002,0.0,0.0,,
21,1310720,,,0.0728257,0.00283907
22,1572864,,,0.0372717,0.0014549
23,1835008,,,0.0184792,0.000636518
24,2097152,,,0.0096387,0.000272793
25,2359296,,,0.00451625,0.000101035
26,2621440,,,0.00226317,4.04138e-05
27,2883584,,,0.00105076,2.02069e-05
28,3145728,,,0.000545587,2.02069e-05
29,3407872,,,0.000313207,1.01035e-05
30,3670016,,,0.000181862,0.0
31,3932160,,,8.08277e-05,0.0
