,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting
0,625002,0.0256129,0.0256129,,
1,750002,0.0126547,0.0126547,,
2,875002,0.00611721,0.00611721,,
3,1000002,0.00277843,0.00277843,,
4,1125002,0.00137754,0.00137754,,
5,1250002,0.000618725,0.000618725,,
6,1375002,0.000466962,0.000466962,,
7,1500002,0.000245155,0.000245155,,
8,1625002,0.000105067,0.000105067,,
9,1750002,4.66962e-05,4.66962e-05,,
10,1875002,5.83703e-05,5.83703e-05,,
11,2000002,2.33481e-05,2.33481e-05,,
12,2125002,0.0,0.0,,
13,2250002,0.0,0.0,,
14,2375002,0.0,0.0,,
15,2500002,0.0,0.0,,
16,2625002,0.0,0.0,,
17,2750002,1.16741e-05,1.16741e-05,,
18,2875002,0.0,0.0,,
19,3000002,0.0,0.0,,
20,3125002,0.0,0.0,,
21,1310720,,,0.0749008,0.0749008
22,1572864,,,0.037322,0.037322
23,1835008,,,0.0186435,0.0186435
24,2097152,,,0.00902405,0.00902405
25,2359296,,,0.00444782,0.00444782
26,2621440,,,0.0021597,0.0021597
27,2883584,,,0.00119075,0.00119075
28,3145728,,,0.000501985,0.000501985
29,3407872,,,0.000198459,0.000198459
30,3670016,,,9.33925e-05,9.33925e-05
31,3932160,,,3.50222e-05,3.50222e-05
