,Memory usage,Prefix-BF Creation time,Prefix-BF+Doubting Creation time,Prefix-QF Creation time,Prefix-QF+Doubting Creation time
0,625002,1.38099,1.14006,,
1,750002,1.33392,1.21661,,
2,875002,1.3356,1.29263,,
3,1000002,1.31085,1.38519,,
4,1125002,1.43591,1.40256,,
5,1250002,1.53718,1.64864,,
6,1375002,1.56217,1.58497,,
7,1500002,1.57384,1.67736,,
8,1625002,1.64741,1.71481,,
9,1750002,1.66753,1.65805,,
10,1875002,1.73187,1.90933,,
11,2000002,1.99983,1.91104,,
12,2125002,1.92481,1.87622,,
13,2250002,2.14992,2.1393,,
14,2375002,1.98462,1.9618,,
15,2500002,2.12879,2.06265,,
16,2625002,2.39164,2.11116,,
17,2750002,2.23587,2.26173,,
18,2875002,2.3678,2.18011,,
19,3000002,2.8179,2.29038,,
20,3125002,2.82579,2.68326,,
21,1310720,,,1.08315,1.12723
22,1572864,,,1.04454,1.0996
23,1835008,,,0.981362,1.16054
24,2097152,,,0.983458,1.03004
25,2359296,,,1.01595,1.03687
26,2621440,,,0.990809,1.00954
27,2883584,,,1.01788,0.995728
28,3145728,,,1.10735,1.02753
29,3407872,,,1.01487,1.00043
30,3670016,,,1.14759,1.02419
31,3932160,,,1.03339,1.0587
