,Memory usage,Prefix-BF Creation time,Prefix-BF+Doubting Creation time,Prefix-QF Creation time,Prefix-QF+Doubting Creation time
0,625002,1.15811,1.28119,,
1,750002,1.2896,1.329,,
2,875002,1.31033,1.53155,,
3,1000002,1.30075,1.38912,,
4,1125002,1.38372,1.43889,,
5,1250002,1.45462,1.4813,,
6,1375002,1.45103,1.50637,,
7,1500002,1.57562,1.57335,,
8,1625002,1.74126,1.75969,,
9,1750002,1.71439,2.04414,,
10,1875002,1.78143,1.80383,,
11,2000002,1.83803,1.82715,,
12,2125002,1.8121,1.8385,,
13,2250002,1.90284,2.18627,,
14,2375002,1.96382,1.93497,,
15,2500002,2.08671,2.00617,,
16,2625002,2.12151,2.27908,,
17,2750002,2.0969,2.04608,,
18,2875002,2.20117,2.46161,,
19,3000002,2.66477,2.5864,,
20,3125002,2.38487,2.49354,,
21,1310720,,,1.07644,1.08802
22,1572864,,,1.03621,1.03893
23,1835008,,,1.07468,1.26356
24,2097152,,,1.06712,1.0629
25,2359296,,,1.07799,1.01105
26,2621440,,,0.964425,1.01672
27,2883584,,,1.07059,1.04288
28,3145728,,,1.05656,0.99959
29,3407872,,,1.04462,1.00282
30,3670016,,,1.01452,1.1345
31,3932160,,,1.02078,1.07879
