,Memory usage,Prefix-BF Query time,Prefix-BF+Doubting Query time,Prefix-QF Query time,Prefix-QF+Doubting Query time
0,625002,2.34925e-07,2.53294e-07,,
1,750002,2.61408e-07,2.70075e-07,,
2,875002,3.05982e-07,2.80646e-07,,
3,1000002,2.55462e-07,2.73216e-07,,
4,1125002,2.72801e-07,2.78381e-07,,
5,1250002,2.78625e-07,2.89768e-07,,
6,1375002,2.74348e-07,2.75041e-07,,
7,1500002,3.22449e-07,2.70155e-07,,
8,1625002,3.55148e-07,2.74295e-07,,
9,1750002,3.08023e-07,2.61935e-07,,
10,1875002,3.05935e-07,2.96187e-07,,
11,2000002,2.90516e-07,2.87804e-07,,
12,2125002,2.7454e-07,2.81066e-07,,
13,2250002,2.9542e-07,2.72818e-07,,
14,2375002,2.88873e-07,2.78344e-07,,
15,2500002,2.78406e-07,2.82869e-07,,
16,2625002,2.84027e-07,2.88443e-07,,
17,2750002,2.82813e-07,2.81625e-07,,
18,2875002,2.83262e-07,3.30285e-07,,
19,3000002,3.06101e-07,3.05547e-07,,
20,3125002,2.86307e-07,2.89233e-07,,
21,1310720,,,1.27784e-07,1.53767e-07
22,1572864,,,1.28878e-07,1.48486e-07
23,1835008,,,1.37428e-07,1.47889e-07
24,2097152,,,1.47113e-07,1.48608e-07
25,2359296,,,1.63997e-07,1.54577e-07
26,2621440,,,1.66974e-07,1.85369e-07
27,2883584,,,1.58074e-07,1.60657e-07
28,3145728,,,1.60429e-07,1.65055e-07
29,3407872,,,1.64418e-07,1.84397e-07
30,3670016,,,1.6639e-07,1.81182e-07
31,3932160,,,1.6852e-07,1.81509e-07
