,Memory usage,FPR Prefix-BF,FPR Multi-Prefix-BF,FPR Prefix-QF,FPR Multi-Prefix-QF
0,125002,0.471326,,,
1,250002,0.221968,,,
2,375002,0.10691,,,
3,500002,0.0513328,,,
4,625002,0.0234952,,,
5,750002,0.0108069,,,
6,875002,0.00508625,,,
7,1000002,0.00262516,,,
8,1125002,0.00133446,,,
9,1250002,0.000546908,,,
10,1375002,0.000164072,,,
11,1500002,0.000153134,,,
12,1625002,0.000109382,,,
13,1750002,5.46908e-05,,,
14,1875002,0.0,,,
15,2000002,1.09382e-05,,,
16,2125002,2.18763e-05,,,
17,2250002,0.0,,,
18,2375002,0.0,,,
19,2500002,0.0,,,
20,2625002,0.0,,,
21,2750002,0.0,,,
22,2875002,0.0,,,
23,3000002,0.0,,,
24,3125002,0.0,,,
25,125075,,0.473382,,
26,250075,,0.225829,,
27,375074,,0.105367,,
28,500074,,0.0494843,,
29,625076,,0.0245234,,
30,750073,,0.0112226,,
31,875076,,0.00566597,,
32,1000075,,0.00266891,,
33,1125077,,0.00109382,,
34,1250076,,0.000426588,,
35,1375077,,0.000196887,,
36,1500074,,0.000131258,,
37,1625075,,6.5629e-05,,
38,1750076,,3.28145e-05,,
39,1875076,,1.09382e-05,,
40,2000076,,0.0,,
41,2125077,,0.0,,
42,2250074,,0.0,,
43,2375074,,0.0,,
44,2500075,,0.0,,
45,2625075,,0.0,,
46,2750076,,0.0,,
47,2875076,,0.0,,
48,3000076,,0.0,,
49,3125076,,0.0,,
50,1310720,,,0.0744452,
51,1572864,,,0.0380976,
52,1835008,,,0.019098,
53,2097152,,,0.00947245,
54,2359296,,,0.00462684,
55,2621440,,,0.00239546,
56,2883584,,,0.00121414,
57,3145728,,,0.000568785,
58,3407872,,,0.00029533,
59,3670016,,,0.00012032,
60,3932160,,,2.18763e-05,
61,968809,,,,0.100992
62,1162566,,,,0.0515735
63,1356323,,,,0.0269298
64,1550080,,,,0.0142852
65,1743837,,,,0.00732857
66,1937594,,,,0.00366429
67,2131351,,,,0.00196887
68,2325108,,,,0.000973497
69,2518865,,,,0.000514094
70,2712622,,,,0.000251578
71,2906379,,,,6.5629e-05
