,Memory usage,FPR Prefix-BF,FPR Multi-Prefix-BF (0.0),FPR Multi-Prefix-BF (0.3),FPR Multi-Prefix-BF (0.5),FPR Multi-Prefix-BF (0.7),FPR SuRFReal
0,81353,0.0830817,,,,0.0830817,
1,121991,0.0263305,,,,0.0263305,
2,162634,0.00734015,,,,0.00734015,
3,203272,0.00213004,,,,0.00213004,
4,243912,0.000740015,,,,0.000740015,
5,284552,0.000220004,,,,0.000220004,
6,325192,8.00016e-05,,,,8.00016e-05,
7,365830,3.00006e-05,,,,3.00006e-05,
8,406470,2.00004e-05,,,,2.00004e-05,
9,447108,1.00002e-05,,,,1.00002e-05,
10,487750,0.0,,,,0.0,
11,528386,1.00002e-05,,,,1.00002e-05,
12,569029,1.00002e-05,,,,1.00002e-05,
13,609667,2.00004e-05,,,,2.00004e-05,
14,650307,0.0,,,,0.0,
15,690949,0.0,,,,0.0,
16,731588,1.00002e-05,,,,1.00002e-05,
17,772230,0.0,,,,0.0,
18,812866,0.0,,,,0.0,
19,853509,0.0,,,,0.0,
20,894145,1.00002e-05,,,,1.00002e-05,
21,934788,0.0,,,,0.0,
22,975426,0.0,,,,0.0,
23,1016065,0.0,,,,0.0,
24,1056702,0.0,,,,0.0,
25,1097347,0.0,,,,0.0,
26,1137981,0.0,,,,0.0,
27,1178623,0.0,,,,0.0,
28,1219262,0.0,,,,0.0,
29,125075,,0.050441,,,,
30,187573,,0.0126403,,,,
31,250074,,0.00292006,,,,
32,312575,,0.000630013,,,,
33,375076,,0.000130003,,,,
34,437577,,2.00004e-05,,,,
35,500075,,2.00004e-05,,,,
36,562576,,2.00004e-05,,,,
37,625077,,1.00002e-05,,,,
38,687575,,0.0,,,,
39,750076,,0.0,,,,
40,812577,,0.0,,,,
41,875077,,0.0,,,,
42,937576,,0.0,,,,
43,1000074,,0.0,,,,
44,1062575,,0.0,,,,
45,1125076,,0.0,,,,
46,1187574,,0.0,,,,
47,1250074,,0.0,,,,
48,1312576,,0.0,,,,
49,1375073,,0.0,,,,
50,1437577,,0.0,,,,
51,1500075,,0.0,,,,
52,1562574,,0.0,,,,
53,1625076,,0.0,,,,
54,1687576,,0.0,,,,
55,1750076,,0.0,,,,
56,1812576,,0.0,,,,
57,1875076,,0.0,,,,
58,106338,,,0.0640513,,,
59,159467,,,0.0177104,,,
60,212599,,,0.00417008,,,
61,265733,,,0.00102002,,,
62,318861,,,0.000340007,,,
63,371994,,,0.000100002,,,
64,425125,,,4.00008e-05,,,
65,478256,,,1.00002e-05,,,
66,531388,,,0.0,,,
67,584515,,,0.0,,,
68,637650,,,0.0,,,
69,690782,,,0.0,,,
70,743913,,,0.0,,,
71,797042,,,0.0,,,
72,850175,,,0.0,,,
73,903307,,,0.0,,,
74,956437,,,0.0,,,
75,1009565,,,0.0,,,
76,1062700,,,0.0,,,
77,1115833,,,0.0,,,
78,1168962,,,0.0,,,
79,1222094,,,0.0,,,
80,1275226,,,0.0,,,
81,1328358,,,0.0,,,
82,1381488,,,0.0,,,
83,1434619,,,0.0,,,
84,1487749,,,0.0,,,
85,1540882,,,0.0,,,
86,1594012,,,0.0,,,
87,93848,,,,0.0719314,,
88,140730,,,,0.0218804,,
89,187617,,,,0.00607012,,
90,234502,,,,0.00143003,,
91,281388,,,,0.000360007,,
92,328274,,,,0.000150003,,
93,375157,,,,1.00002e-05,,
94,422041,,,,0.0,,
95,468928,,,,2.00004e-05,,
96,515813,,,,2.00004e-05,,
97,562701,,,,1.00002e-05,,
98,609586,,,,0.0,,
99,656471,,,,0.0,,
100,703356,,,,0.0,,
101,750243,,,,0.0,,
102,797126,,,,0.0,,
103,844013,,,,0.0,,
104,890898,,,,0.0,,
105,937783,,,,1.00002e-05,,
106,984670,,,,0.0,,
107,1031552,,,,0.0,,
108,1078440,,,,0.0,,
109,1125328,,,,0.0,,
110,1172211,,,,0.0,,
111,1219096,,,,0.0,,
112,1265981,,,,0.0,,
113,1312867,,,,0.0,,
114,1359752,,,,0.0,,
115,1406635,,,,0.0,,
116,221111,,,,,,0.0124702
117,233615,,,,,,0.0124702
118,246119,,,,,,0.0124502
119,258623,,,,,,0.0124502
120,271119,,,,,,0.00645013
121,283615,,,,,,0.00313006
122,296119,,,,,,0.00167003
123,308615,,,,,,0.000910018
124,321119,,,,,,0.000440009
