,Memory usage,FPR Prefix-BF,FPR Multi-Prefix-BF (0.0),FPR Multi-Prefix-BF (0.3),FPR Multi-Prefix-BF (0.5),FPR Multi-Prefix-BF (0.7),FPR SuRFReal
0,90519,0.788355,,,,0.788355,
1,135740,0.650079,,,,0.650079,
2,180962,0.54523,,,,0.54523,
3,226181,0.467967,,,,0.467967,
4,271405,0.403609,,,,0.403609,
5,316626,0.345511,,,,0.345511,
6,361849,0.300018,,,,0.300018,
7,407068,0.255418,,,,0.255418,
8,452289,0.222099,,,,0.222099,
9,497513,0.188888,,,,0.188888,
10,542733,0.165819,,,,0.165819,
11,587955,0.14034,,,,0.14034,
12,633177,0.122186,,,,0.122186,
13,678400,0.103763,,,,0.103763,
14,723620,0.090868,,,,0.090868,
15,768841,0.0780052,,,,0.0780052,
16,814061,0.0671965,,,,0.0671965,
17,859284,0.0575817,,,,0.0575817,
18,904504,0.0496983,,,,0.0496983,
19,949728,0.0426216,,,,0.0426216,
20,994948,0.0381046,,,,0.0381046,
21,1040169,0.0324367,,,,0.0324367,
22,1085391,0.0296942,,,,0.0296942,
23,1130613,0.0249728,,,,0.0249728,
24,1175834,0.0208537,,,,0.0208537,
25,1221055,0.0188641,,,,0.0188641,
26,1266279,0.0162937,,,,0.0162937,
27,1311497,0.0145729,,,,0.0145729,
28,1356724,0.0124649,,,,0.0124649,
29,125074,,0.655801,,,,
30,187572,,0.50677,,,,
31,250075,,0.410847,,,,
32,312576,,0.325174,,,,
33,375074,,0.256988,,,,
34,437573,,0.206386,,,,
35,500077,,0.165464,,,,
36,562575,,0.127994,,,,
37,625074,,0.102225,,,,
38,687577,,0.0822964,,,,
39,750077,,0.0654865,,,,
40,812573,,0.0521182,,,,
41,875074,,0.0417505,,,,
42,937576,,0.0321786,,,,
43,1000076,,0.0274034,,,,
44,1062575,,0.020886,,,,
45,1125076,,0.0175305,,,,
46,1187574,,0.0127445,,,,
47,1250073,,0.0114647,,,,
48,1312576,,0.00873297,,,,
49,1375076,,0.0068186,,,,
50,1437576,,0.00522687,,,,
51,1500076,,0.00424818,,,,
52,1562575,,0.00292533,,,,
53,1625073,,0.00289306,,,,
54,1687575,,0.00223702,,,,
55,1750077,,0.00193588,,,,
56,1812577,,0.0014304,,,,
57,1875075,,0.00092492,,,,
58,110265,,,0.706015,,,
59,165359,,,0.557092,,,
60,220455,,,0.456513,,,
61,275551,,,0.385423,,,
62,330645,,,0.311634,,,
63,385741,,,0.254213,,,
64,440836,,,0.209849,,,
65,495931,,,0.173003,,,
66,551027,,,0.14147,,,
67,606120,,,0.11511,,,
68,661213,,,0.0950194,,,
69,716310,,,0.0793603,,,
70,771406,,,0.0642604,,,
71,826501,,,0.0532367,,,
72,881593,,,0.0443531,,,
73,936687,,,0.0363623,,,
74,991785,,,0.0301459,,,
75,1046880,,,0.0236285,,,
76,1101977,,,0.0197675,,,
77,1157068,,,0.0171433,,,
78,1212164,,,0.0138093,,,
79,1267258,,,0.0119164,,,
80,1322354,,,0.00905561,,,
81,1377452,,,0.00741012,,,
82,1432543,,,0.00646369,,,
83,1487641,,,0.00501178,,,
84,1542734,,,0.00433422,,,
85,1597827,,,0.00333401,,,
86,1652924,,,0.00311892,,,
87,100390,,,,0.746131,,
88,150550,,,,0.601499,,
89,200708,,,,0.496854,,
90,250868,,,,0.422183,,
91,301026,,,,0.356578,,
92,351183,,,,0.297598,,
93,401340,,,,0.249847,,
94,451499,,,,0.20886,,
95,501659,,,,0.175541,,
96,551818,,,,0.149224,,
97,601974,,,,0.123713,,
98,652132,,,,0.104548,,
99,702290,,,,0.0872544,,
100,752450,,,,0.0750046,,
101,802606,,,,0.062088,,
102,852766,,,,0.052914,,
103,902924,,,,0.0441058,,
104,953085,,,,0.0378142,,
105,1003240,,,,0.0320388,,
106,1053398,,,,0.0268872,,
107,1103559,,,,0.0219185,,
108,1153716,,,,0.0187027,,
109,1203874,,,,0.0160033,,
110,1254032,,,,0.0135081,,
111,1304189,,,,0.0114217,,
112,1354347,,,,0.00943203,,
113,1404505,,,,0.00825975,,
114,1454662,,,,0.00663576,,
115,1504824,,,,0.00582915,,
116,164181,,,,,,0.966821
117,176685,,,,,,0.966821
118,189181,,,,,,0.96054
119,201685,,,,,,0.96054
120,214181,,,,,,0.932696
121,250648,,,,,,0.919736
122,263152,,,,,,0.912649
123,275648,,,,,,0.909197
124,288152,,,,,,0.907185
