,Memory usage,FPR Prefix-BF,FPR Multi-Prefix-BF (0.0),FPR Multi-Prefix-BF (0.3),FPR Multi-Prefix-BF (0.5),FPR Multi-Prefix-BF (0.7),FPR SuRFReal
0,90519,0.459748,,,,0.459748,
1,135740,0.224379,,,,0.224379,
2,180962,0.116245,,,,0.116245,
3,226181,0.0651226,,,,0.0651226,
4,271405,0.0397416,,,,0.0397416,
5,316626,0.0234609,,,,0.0234609,
6,361849,0.0138906,,,,0.0138906,
7,407068,0.00853034,,,,0.00853034,
8,452289,0.00478019,,,,0.00478019,
9,497513,0.00269011,,,,0.00269011,
10,542733,0.00170007,,,,0.00170007,
11,587955,0.00112004,,,,0.00112004,
12,633177,0.000640026,,,,0.000640026,
13,678400,0.000460018,,,,0.000460018,
14,723620,0.000200008,,,,0.000200008,
15,768841,0.000160006,,,,0.000160006,
16,814061,5.0002e-05,,,,5.0002e-05,
17,859284,7.00028e-05,,,,7.00028e-05,
18,904504,2.00008e-05,,,,2.00008e-05,
19,949728,0.0,,,,0.0,
20,994948,1.00004e-05,,,,1.00004e-05,
21,1040169,2.00008e-05,,,,2.00008e-05,
22,1085391,0.0,,,,0.0,
23,1130613,1.00004e-05,,,,1.00004e-05,
24,1175834,2.00008e-05,,,,2.00008e-05,
25,1221055,0.0,,,,0.0,
26,1266279,0.0,,,,0.0,
27,1311497,0.0,,,,0.0,
28,1356724,0.0,,,,0.0,
29,125074,,0.182487,,,,
30,187572,,0.0645726,,,,
31,250075,,0.0294112,,,,
32,312576,,0.0118305,,,,
33,375074,,0.00412016,,,,
34,437573,,0.00199008,,,,
35,500077,,0.000700028,,,,
36,562575,,0.00025001,,,,
37,625074,,0.000120005,,,,
38,687577,,7.00028e-05,,,,
39,750077,,5.0002e-05,,,,
40,812573,,3.00012e-05,,,,
41,875074,,0.0,,,,
42,937576,,2.00008e-05,,,,
43,1000076,,0.0,,,,
44,1062575,,2.00008e-05,,,,
45,1125076,,2.00008e-05,,,,
46,1187574,,0.0,,,,
47,1250073,,0.0,,,,
48,1312576,,0.0,,,,
49,1375076,,0.0,,,,
50,1437576,,0.0,,,,
51,1500076,,0.0,,,,
52,1562575,,0.0,,,,
53,1625073,,0.0,,,,
54,1687575,,0.0,,,,
55,1750077,,0.0,,,,
56,1812577,,0.0,,,,
57,1875075,,0.0,,,,
58,110265,,,0.263531,,,
59,165359,,,0.105584,,,
60,220455,,,0.0477919,,,
61,275551,,,0.025611,,,
62,330645,,,0.0114505,,,
63,385741,,,0.00518021,,,
64,440836,,,0.00225009,,,
65,495931,,,0.00129005,,,
66,551027,,,0.000460018,,,
67,606120,,,0.000280011,,,
68,661213,,,0.000230009,,,
69,716310,,,6.00024e-05,,,
70,771406,,,7.00028e-05,,,
71,826501,,,2.00008e-05,,,
72,881593,,,0.0,,,
73,936687,,,1.00004e-05,,,
74,991785,,,1.00004e-05,,,
75,1046880,,,1.00004e-05,,,
76,1101977,,,0.0,,,
77,1157068,,,0.0,,,
78,1212164,,,0.0,,,
79,1267258,,,0.0,,,
80,1322354,,,0.0,,,
81,1377452,,,1.00004e-05,,,
82,1432543,,,0.0,,,
83,1487641,,,0.0,,,
84,1542734,,,1.00004e-05,,,
85,1597827,,,0.0,,,
86,1652924,,,0.0,,,
87,100390,,,,0.345144,,
88,150550,,,,0.151636,,
89,200708,,,,0.0717429,,
90,250868,,,,0.0390316,,
91,301026,,,,0.0224509,,
92,351183,,,,0.0111604,,
93,401340,,,,0.00587023,,
94,451499,,,,0.00325013,,
95,501659,,,,0.00168007,,
96,551818,,,,0.00076003,,
97,601974,,,,0.000470019,,
98,652132,,,,0.000210008,,
99,702290,,,,0.000150006,,
100,752450,,,,6.00024e-05,,
101,802606,,,,2.00008e-05,,
102,852766,,,,1.00004e-05,,
103,902924,,,,1.00004e-05,,
104,953085,,,,2.00008e-05,,
105,1003240,,,,1.00004e-05,,
106,1053398,,,,1.00004e-05,,
107,1103559,,,,0.0,,
108,1153716,,,,0.0,,
109,1203874,,,,0.0,,
110,1254032,,,,0.0,,
111,1304189,,,,0.0,,
112,1354347,,,,1.00004e-05,,
113,1404505,,,,1.00004e-05,,
114,1454662,,,,0.0,,
115,1504824,,,,0.0,,
116,164181,,,,,,0.196398
117,176685,,,,,,0.196398
118,189181,,,,,,0.196348
119,201685,,,,,,0.196348
120,214181,,,,,,0.100934
121,250648,,,,,,0.0538222
122,263152,,,,,,0.0284011
123,275648,,,,,,0.0147006
124,288152,,,,,,0.00783031
