,Memory usage,Prefix-BF,Multi-Prefix-BF
0,81346,0.684212,
1,162618,0.441652,
2,243891,0.290924,
3,325162,0.192821,
4,406433,0.12854,
5,487707,0.0853429,
6,568978,0.0565932,
7,650252,0.0389996,
8,731519,0.0260518,
9,812793,0.0172498,
10,894064,0.0115415,
11,975338,0.00779159,
12,1056610,0.00530203,
13,1137881,0.00394788,
14,1219155,0.0027708,
15,1300425,0.00184373,
16,1381697,0.00112499,
17,1462968,0.000864574,
18,1544241,0.000593744,
19,1625514,0.000427079,
20,1706784,0.000239581,
21,1788057,0.000239581,
22,1869328,0.000114582,
23,1950601,8.33325e-05,
24,2031872,8.33325e-05,
25,125076,,0.472391
26,250074,,0.2218
27,375073,,0.105863
28,500073,,0.0496036
29,625074,,0.0242185
30,750078,,0.0111561
31,875075,,0.00551036
32,1000074,,0.00247914
33,1125077,,0.00121874
34,1250076,,0.000520828
35,1375077,,0.000239581
36,1500077,,0.000135415
37,1625078,,7.29159e-05
38,1750076,,1.04166e-05
39,1875075,,2.08331e-05
40,2000075,,1.04166e-05
41,2125077,,0.0
42,2250078,,0.0
43,2375075,,0.0
44,2500073,,0.0
45,2625077,,0.0
46,2750075,,0.0
47,2875074,,0.0
48,3000076,,0.0
49,3125075,,0.0
