,Memory usage,FPR Prefix-BF,Multi-Prefix-BF (p=0.0),Multi-Prefix-BF (p=0.3),Multi-Prefix-BF (p=0.5),Multi-Prefix-BF (p=0.7)
0,57344,0.277991,,,,0.277991
1,114613,0.0786036,,,,0.0786036
2,171881,0.0219148,,,,0.0219148
3,229147,0.006497,,,,0.006497
4,286417,0.00169438,,,,0.00169438
5,343683,0.000549833,,,,0.000549833
6,400951,0.000190758,,,,0.000190758
7,458219,3.36632e-05,,,,3.36632e-05
8,515487,1.12211e-05,,,,1.12211e-05
9,572756,1.12211e-05,,,,1.12211e-05
10,630022,1.12211e-05,,,,1.12211e-05
11,687290,0.0,,,,0.0
12,744556,0.0,,,,0.0
13,801823,0.0,,,,0.0
14,859091,0.0,,,,0.0
15,916359,0.0,,,,0.0
16,973630,0.0,,,,0.0
17,1030896,0.0,,,,0.0
18,1088164,0.0,,,,0.0
19,1145432,0.0,,,,0.0
20,1202699,0.0,,,,0.0
21,1259966,0.0,,,,0.0
22,1317232,0.0,,,,0.0
23,1374502,0.0,,,,0.0
24,1431769,0.0,,,,0.0
25,125078,,0.0526156,,,
26,250077,,0.00290626,,,
27,375078,,0.000123432,,,
28,500076,,1.12211e-05,,,
29,625078,,0.0,,,
30,750078,,0.0,,,
31,875079,,0.0,,,
32,1000079,,0.0,,,
33,1125074,,0.0,,,
34,1250078,,0.0,,,
35,1375077,,0.0,,,
36,1500081,,0.0,,,
37,1625075,,0.0,,,
38,1750077,,0.0,,,
39,1875079,,0.0,,,
40,2000077,,0.0,,,
41,2125075,,0.0,,,
42,2250078,,0.0,,,
43,2375077,,0.0,,,
44,2500078,,0.0,,,
45,2625080,,0.0,,,
46,2750077,,0.0,,,
47,2875077,,0.0,,,
48,3000078,,0.0,,,
49,3125081,,0.0,,,
50,96051,,,0.10807,,
51,192020,,,0.0118607,,
52,287995,,,0.00083036,,
53,383961,,,0.000123432,,
54,479937,,,0.0,,
55,575909,,,0.0,,
56,671882,,,0.0,,
57,767850,,,0.0,,
58,863824,,,0.0,,
59,959796,,,0.0,,
60,1055768,,,0.0,,
61,1151739,,,0.0,,
62,1247710,,,0.0,,
63,1343683,,,0.0,,
64,1439656,,,0.0,,
65,1535628,,,0.0,,
66,1631599,,,0.0,,
67,1727571,,,0.0,,
68,1823543,,,0.0,,
69,1919515,,,0.0,,
70,2015487,,,0.0,,
71,2111457,,,0.0,,
72,2207431,,,0.0,,
73,2303402,,,0.0,,
74,2399375,,,0.0,,
75,76697,,,,0.173377,
76,153316,,,,0.0299939,
77,229941,,,,0.00549833,
78,306555,,,,0.000920128,
79,383176,,,,0.000190758,
80,459798,,,,3.36632e-05,
81,536418,,,,1.12211e-05,
82,613038,,,,0.0,
83,689658,,,,0.0,
84,766274,,,,0.0,
85,842896,,,,0.0,
86,919514,,,,0.0,
87,996137,,,,0.0,
88,1072755,,,,0.0,
89,1149372,,,,0.0,
90,1225995,,,,0.0,
91,1302612,,,,0.0,
92,1379234,,,,0.0,
93,1455855,,,,0.0,
94,1532473,,,,0.0,
95,1609094,,,,0.0,
96,1685713,,,,0.0,
97,1762332,,,,0.0,
98,1838953,,,,0.0,
99,1915570,,,,0.0,
