,Memory usage,FPR Prefix-BF,Multi-Prefix-BF (p=0.0),Multi-Prefix-BF (p=0.3),Multi-Prefix-BF (p=0.5),Multi-Prefix-BF (p=0.7)
0,92754,0.597124,,,,0.597124
1,185419,0.350339,,,,0.350339
2,278084,0.206022,,,,0.206022
3,370751,0.120926,,,,0.120926
4,463418,0.0718508,,,,0.0718508
5,556079,0.0438874,,,,0.0438874
6,648747,0.0256593,,,,0.0256593
7,741409,0.014983,,,,0.014983
8,834077,0.0090477,,,,0.0090477
9,926744,0.00546481,,,,0.00546481
10,1019410,0.00313654,,,,0.00313654
11,1112070,0.00220764,,,,0.00220764
12,1204738,0.00120636,,,,0.00120636
13,1297404,0.000687625,,,,0.000687625
14,1390070,0.000410162,,,,0.000410162
15,1482734,0.000205081,,,,0.000205081
16,1575399,0.000229208,,,,0.000229208
17,1668064,0.0001327,,,,0.0001327
18,1760733,9.65088e-05,,,,9.65088e-05
19,1853395,4.82544e-05,,,,4.82544e-05
20,1946062,2.41272e-05,,,,2.41272e-05
21,2038727,4.82544e-05,,,,4.82544e-05
22,2131389,2.41272e-05,,,,2.41272e-05
23,2224052,1.20636e-05,,,,1.20636e-05
24,2316723,1.20636e-05,,,,1.20636e-05
25,125089,,0.480288,,,
26,250090,,0.231814,,,
27,375091,,0.111263,,,
28,500089,,0.0536348,,,
29,625088,,0.0262383,,,
30,750091,,0.0127512,,,
31,875089,,0.00545275,,,
32,1000090,,0.00300384,,,
33,1125091,,0.00136319,,,
34,1250089,,0.000723816,,,
35,1375093,,0.000265399,,,
36,1500089,,0.0001327,,,
37,1625090,,7.23816e-05,,,
38,1750088,,0.0,,,
39,1875089,,3.61908e-05,,,
40,2000091,,0.0,,,
41,2125090,,0.0,,,
42,2250089,,1.20636e-05,,,
43,2375091,,0.0,,,
44,2500090,,0.0,,,
45,2625089,,0.0,,,
46,2750092,,0.0,,,
47,2875091,,0.0,,,
48,3000092,,0.0,,,
49,3125088,,0.0,,,
50,111232,,,0.52619,,
51,222373,,,0.277547,,
52,333516,,,0.144655,,
53,444660,,,0.0747219,,
54,555803,,,0.0383984,,
55,666945,,,0.0206891,,
56,778085,,,0.0112795,,
57,889229,,,0.00592323,,
58,1000371,,,0.00299177,,
59,1111512,,,0.00156827,,
60,1222650,,,0.000699689,,
61,1333798,,,0.000446353,,
62,1444939,,,0.000144763,,
63,1556081,,,0.000144763,,
64,1667227,,,8.44452e-05,,
65,1778365,,,4.82544e-05,,
66,1889508,,,2.41272e-05,,
67,2000650,,,0.0,,
68,2111795,,,0.0,,
69,2222934,,,0.0,,
70,2334077,,,0.0,,
71,2445219,,,0.0,,
72,2556364,,,0.0,,
73,2667504,,,0.0,,
74,2778649,,,0.0,,
75,101992,,,,0.555227,
76,203894,,,,0.311096,
77,305800,,,,0.174572,
78,407701,,,,0.0938427,
79,509608,,,,0.0527059,
80,611512,,,,0.0292663,
81,713416,,,,0.0164547,
82,815318,,,,0.00950612,
83,917223,,,,0.00545275,
84,1019125,,,,0.00277463,
85,1121032,,,,0.00171303,
86,1222936,,,,0.000796198,
87,1324837,,,,0.000542862,
88,1426740,,,,0.000289526,
89,1528644,,,,0.000253336,
90,1630548,,,,8.44452e-05,
91,1732453,,,,3.61908e-05,
92,1834357,,,,2.41272e-05,
93,1936261,,,,0.0,
94,2038162,,,,1.20636e-05,
95,2140068,,,,0.0,
96,2241973,,,,0.0,
97,2343878,,,,0.0,
98,2445780,,,,0.0,
99,2547684,,,,0.0,
