,Memory usage,FPR Prefix-BF,Multi-Prefix-BF (p=0.0),Multi-Prefix-BF (p=0.3),Multi-Prefix-BF (p=0.5),Multi-Prefix-BF (p=0.7)
0,92754,0.209045,,,,0.209045
1,185419,0.0625206,,,,0.0625206
2,278084,0.0256934,,,,0.0256934
3,370751,0.0134452,,,,0.0134452
4,463418,0.00745006,,,,0.00745006
5,556079,0.00460211,,,,0.00460211
6,648747,0.0027654,,,,0.0027654
7,741409,0.00218755,,,,0.00218755
8,834077,0.00128983,,,,0.00128983
9,926744,0.000670712,,,,0.000670712
10,1019410,0.000412746,,,,0.000412746
11,1112070,0.000412746,,,,0.000412746
12,1204738,0.000247647,,,,0.000247647
13,1297404,0.000175417,,,,0.000175417
14,1390070,7.22305e-05,,,,7.22305e-05
15,1482734,5.15932e-05,,,,5.15932e-05
16,1575399,2.06373e-05,,,,2.06373e-05
17,1668064,3.09559e-05,,,,3.09559e-05
18,1760733,1.03186e-05,,,,1.03186e-05
19,1853395,2.06373e-05,,,,2.06373e-05
20,1946062,0.0,,,,0.0
21,2038727,1.03186e-05,,,,1.03186e-05
22,2131389,2.06373e-05,,,,2.06373e-05
23,2224052,0.0,,,,0.0
24,2316723,0.0,,,,0.0
25,125089,,0.104229,,,
26,250090,,0.0243726,,,
27,375091,,0.00970984,,,
28,500089,,0.00417905,,,
29,625088,,0.00200182,,,
30,750091,,0.000866766,,,
31,875089,,0.00038179,,,
32,1000090,,0.000257966,,,
33,1125091,,4.12746e-05,,,
34,1250089,,3.09559e-05,,,
35,1375093,,2.06373e-05,,,
36,1500089,,0.0,,,
37,1625090,,0.0,,,
38,1750088,,0.0,,,
39,1875089,,0.0,,,
40,2000091,,0.0,,,
41,2125090,,0.0,,,
42,2250089,,0.0,,,
43,2375091,,0.0,,,
44,2500090,,0.0,,,
45,2625089,,0.0,,,
46,2750092,,0.0,,,
47,2875091,,0.0,,,
48,3000092,,0.0,,,
49,3125088,,0.0,,,
50,111232,,,0.135927,,
51,222373,,,0.0336078,,
52,333516,,,0.0138889,,
53,444660,,,0.00688253,,
54,555803,,,0.00330196,,
55,666945,,,0.00180576,,
56,778085,,,0.00115569,,
57,889229,,,0.000577844,,
58,1000371,,,0.000299241,,
59,1111512,,,0.000175417,,
60,1222650,,,9.28678e-05,,
61,1333798,,,5.15932e-05,,
62,1444939,,,3.09559e-05,,
63,1556081,,,1.03186e-05,,
64,1667227,,,0.0,,
65,1778365,,,0.0,,
66,1889508,,,0.0,,
67,2000650,,,0.0,,
68,2111795,,,0.0,,
69,2222934,,,0.0,,
70,2334077,,,0.0,,
71,2445219,,,0.0,,
72,2556364,,,0.0,,
73,2667504,,,0.0,,
74,2778649,,,0.0,,
75,101992,,,,0.166625,
76,203894,,,,0.0456393,
77,305800,,,,0.0192959,
78,407701,,,,0.00935901,
79,509608,,,,0.00506645,
80,611512,,,,0.00301304,
81,713416,,,,0.00180576,
82,815318,,,,0.00090804,
83,917223,,,,0.000505613,
84,1019125,,,,0.000340515,
85,1121032,,,,0.000175417,
86,1222936,,,,8.25491e-05,
87,1324837,,,,4.12746e-05,
88,1426740,,,,4.12746e-05,
89,1528644,,,,1.03186e-05,
90,1630548,,,,2.06373e-05,
91,1732453,,,,1.03186e-05,
92,1834357,,,,0.0,
93,1936261,,,,1.03186e-05,
94,2038162,,,,0.0,
95,2140068,,,,0.0,
96,2241973,,,,0.0,
97,2343878,,,,0.0,
98,2445780,,,,0.0,
99,2547684,,,,0.0,
