,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting,FPR SuRFReal
0,125002,0.470859,0.470859,,,
1,250002,0.225622,0.225622,,,
2,375002,0.107021,0.107021,,,
3,500002,0.0502245,0.0502245,,,
4,625002,0.0236212,0.0236212,,,
5,750002,0.0113998,0.0113998,,,
6,875002,0.00532292,0.00532292,,,
7,1000002,0.00248703,0.00248703,,,
8,1125002,0.00095655,0.00095655,,,
9,1250002,0.000540169,0.000540169,,,
10,1375002,0.000303845,0.000303845,,,
11,1500002,0.000135042,0.000135042,,,
12,1625002,4.50141e-05,4.50141e-05,,,
13,1750002,3.37606e-05,3.37606e-05,,,
14,1875002,0.0,0.0,,,
15,2000002,1.12535e-05,1.12535e-05,,,
16,2125002,0.0,0.0,,,
17,2250002,0.0,0.0,,,
18,2375002,0.0,0.0,,,
19,2500002,1.12535e-05,1.12535e-05,,,
20,2625002,0.0,0.0,,,
21,2750002,0.0,0.0,,,
22,2875002,0.0,0.0,,,
23,3000002,0.0,0.0,,,
24,3125002,0.0,0.0,,,
25,1310720,,,0.0731592,0.0731592,
26,1572864,,,0.0368328,0.0368328,
27,1835008,,,0.0188272,0.0188272,
28,2097152,,,0.0093967,0.0093967,
29,2359296,,,0.00473774,0.00473774,
30,2621440,,,0.00247578,0.00247578,
31,2883584,,,0.00109159,0.00109159,
32,3145728,,,0.000528916,0.000528916,
33,3407872,,,0.000360113,0.000360113,
34,3670016,,,0.00019131,0.00019131,
35,3932160,,,0.000101282,0.000101282,
36,221111,,,,,0.662957
37,233615,,,,,0.662957
38,246119,,,,,0.647371
39,258623,,,,,0.647371
40,271119,,,,,0.587243
41,283615,,,,,0.559728
42,296119,,,,,0.543928
43,308615,,,,,0.53542
44,321119,,,,,0.530863
