,Memory usage,Prefix-BF,Prefix-QF
0,80772,0.540669,
1,161472,0.295603,
2,242166,0.157045,
3,322865,0.0865403,
4,403561,0.0481769,
5,484260,0.0270295,
6,564954,0.0150353,
7,645654,0.00835292,
8,726349,0.00455159,
9,807044,0.00260091,
10,887743,0.0014305,
11,968439,0.00077027,
12,1049136,0.000420147,
13,1129836,0.000360126,
14,1210531,0.000120042,
15,1291227,0.000130046,
16,1371925,6.0021e-05,
17,1452624,6.0021e-05,
18,1533319,2.0007e-05,
19,1614015,1.00035e-05,
20,1694713,0.0,
21,1775408,0.0,
22,1856108,0.0,
23,1936802,0.0,
24,2017502,0.0,
25,524288,,0.181624
26,655360,,0.0945031
27,786432,,0.0476967
28,917504,,0.0243385
29,1048576,,0.0121443
30,1179648,,0.00602211
31,1310720,,0.00301105
32,1441792,,0.0014405
33,1572864,,0.000760266
34,1703936,,0.000360126
35,1835008,,0.000180063
36,1966080,,9.00315e-05
