,Memory usage,Prefix-BF,Prefix-BF+Doubting d=3,Prefix-BF+Doubting d=6,Prefix-QF,Prefix-QF+Doubting d=3,Prefix-QF+Doubting d=6
0,81346,0.686026,0.225532,0.130618,,,
1,162618,0.442107,0.0533437,0.0326141,,,
2,243891,0.292446,0.0168927,0.0128033,,,
3,325162,0.193231,0.00648243,0.00570494,,,
4,406433,0.129416,0.00333209,0.00319073,,,
5,487707,0.0857861,0.00205984,0.00200935,,,
6,568978,0.0574836,0.0010905,0.0010804,,,
7,650252,0.0390864,0.00076739,0.000757293,,,
8,731519,0.0257782,0.000514959,0.000514959,,,
9,812793,0.0176803,0.000151459,0.000151459,,,
10,894064,0.0118542,9.08751e-05,9.08751e-05,,,
11,975338,0.00822925,0.000121167,0.000121167,,,
12,1056610,0.0051193,5.04862e-05,5.04862e-05,,,
13,1137881,0.00390763,3.02917e-05,3.02917e-05,,,
14,1219155,0.00244353,4.03889e-05,4.03889e-05,,,
15,1300425,0.00159536,1.00972e-05,1.00972e-05,,,
16,1381697,0.00115108,2.01945e-05,2.01945e-05,,,
17,1462968,0.000747195,1.00972e-05,1.00972e-05,,,
18,1544241,0.000514959,0.0,0.0,,,
19,1625514,0.000302917,0.0,0.0,,,
20,1706784,0.00029282,0.0,0.0,,,
21,1788057,0.000151459,0.0,0.0,,,
22,1869328,6.05834e-05,0.0,0.0,,,
23,1950601,0.000100972,0.0,0.0,,,
24,2031872,6.05834e-05,0.0,0.0,,,
25,524288,,,,0.259438,0.0176399,0.0146309
26,655360,,,,0.140503,0.00663388,0.00633097
27,786432,,,,0.072589,0.00270606,0.00266567
28,917504,,,,0.0373598,0.00124196,0.00124196
29,1048576,,,,0.0184577,0.000484667,0.000484667
30,1179648,,,,0.00974383,0.000222139,0.000222139
31,1310720,,,,0.00496784,0.000131264,0.000131264
32,1441792,,,,0.0025445,5.04862e-05,5.04862e-05
33,1572864,,,,0.00134293,2.01945e-05,2.01945e-05
34,1703936,,,,0.000706807,1.00972e-05,1.00972e-05
35,1835008,,,,0.000413987,0.0,0.0
36,1966080,,,,0.000201945,0.0,0.0
