,Memory usage,Prefix-BF,Prefix-BF+Doubting d=3,Prefix-BF+Doubting d=6,Prefix-QF,Prefix-QF+Doubting d=3,Prefix-QF+Doubting d=6
0,90539,0.74369,0.309563,0.275719,,,
1,181001,0.491791,0.0732015,0.0613564,,,
2,271463,0.353542,0.0227298,0.0190982,,,
3,361927,0.240403,0.00770331,0.00676291,,,
4,452388,0.173965,0.00330142,0.00311134,,,
5,542848,0.119001,0.00154066,0.00148064,,,
6,633311,0.083746,0.000820353,0.000800344,,,
7,723774,0.058255,0.000410176,0.000410176,,,
8,814236,0.041798,0.000190082,0.000180077,,,
9,904696,0.0291325,0.000190082,0.000190082,,,
10,995158,0.0202087,0.000150065,0.00014006,,,
11,1085622,0.0148664,0.000100043,0.000100043,,,
12,1176083,0.0100343,6.00258e-05,6.00258e-05,,,
13,1266549,0.00731314,2.00086e-05,2.00086e-05,,,
14,1357008,0.00482207,1.00043e-05,1.00043e-05,,,
15,1447472,0.00356153,2.00086e-05,2.00086e-05,,,
16,1537932,0.00257111,1.00043e-05,1.00043e-05,,,
17,1628396,0.00152065,0.0,0.0,,,
18,1718857,0.00121052,0.0,0.0,,,
19,1809317,0.000800344,0.0,0.0,,,
20,1899781,0.000440189,0.0,0.0,,,
21,1990243,0.000440189,0.0,0.0,,,
22,2080704,0.00028012,0.0,0.0,,,
23,2171166,0.000200086,0.0,0.0,,,
24,2261629,0.00014006,0.0,0.0,,,
25,1048576,,,,0.223446,0.00843363,0.00772332
26,1310720,,,,0.119241,0.00212091,0.00201086
27,1572864,,,,0.0616265,0.000670288,0.000660284
28,1835008,,,,0.0311234,0.000220095,0.000220095
29,2097152,,,,0.0157068,0.000110047,0.000110047
30,2359296,,,,0.00777334,6.00258e-05,6.00258e-05
31,2621440,,,,0.00411177,2.00086e-05,2.00086e-05
32,2883584,,,,0.00199086,1.00043e-05,1.00043e-05
33,3145728,,,,0.00106046,0.0,0.0
34,3407872,,,,0.000620267,0.0,0.0
35,3670016,,,,0.000290125,0.0,0.0
36,3932160,,,,0.000120052,0.0,0.0
