,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting,FPR SuRFReal
0,125002,0.647346,0.181667,,,
1,250002,0.409006,0.0283711,,,
2,375002,0.25297,0.00456018,,,
3,500002,0.163017,0.000770031,,,
4,625002,0.100734,8.00032e-05,,,
5,750002,0.0647526,2.00008e-05,,,
6,875002,0.0402116,0.0,,,
7,1000002,0.025901,0.0,,,
8,1125002,0.0170307,0.0,,,
9,1250002,0.0101504,1.00004e-05,,,
10,1375002,0.00679027,0.0,,,
11,1500002,0.00419017,0.0,,,
12,1625002,0.00296012,0.0,,,
13,1750002,0.00162006,0.0,,,
14,1875002,0.00099004,0.0,,,
15,2000002,0.000700028,0.0,,,
16,2125002,0.000370015,0.0,,,
17,2250002,0.00025001,0.0,,,
18,2375002,0.000130005,0.0,,,
19,2500002,0.000110004,0.0,,,
20,2625002,9.00036e-05,0.0,,,
21,2750002,3.00012e-05,0.0,,,
22,2875002,7.00028e-05,0.0,,,
23,3000002,4.00016e-05,0.0,,,
24,3125002,3.00012e-05,0.0,,,
25,1048576,,,0.224569,0.00272011,
26,1310720,,,0.118955,0.00026001,
27,1572864,,,0.0615525,2.00008e-05,
28,1835008,,,0.0310712,0.0,
29,2097152,,,0.0160806,0.0,
30,2359296,,,0.00840034,0.0,
31,2621440,,,0.00428017,0.0,
32,2883584,,,0.00212008,0.0,
33,3145728,,,0.00124005,0.0,
34,3407872,,,0.000730029,0.0,
35,3670016,,,0.000360014,0.0,
36,3932160,,,0.000150006,0.0,
37,164181,,,,,0.196398
38,176685,,,,,0.196398
39,189181,,,,,0.196348
40,201685,,,,,0.196348
41,214181,,,,,0.100934
42,250648,,,,,0.0538222
43,263152,,,,,0.0284011
44,275648,,,,,0.0147006
45,288152,,,,,0.00783031
