,Memory usage,Prefix-BF Creation time,Prefix-BF+Doubting Creation time,Prefix-QF Creation time,Prefix-QF+Doubting Creation time
0,625002,1.16893,1.13811,,
1,750002,1.20963,1.21327,,
2,875002,1.32657,1.29969,,
3,1000002,1.37949,1.32386,,
4,1125002,1.41594,1.44925,,
5,1250002,1.51992,1.49202,,
6,1375002,1.51933,1.48924,,
7,1500002,1.6037,1.56167,,
8,1625002,2.14612,1.65808,,
9,1750002,1.74139,1.68188,,
10,1875002,1.75467,1.84839,,
11,2000002,1.85175,3.04521,,
12,2125002,2.02187,2.22001,,
13,2250002,1.92457,1.94177,,
14,2375002,1.9241,2.00232,,
15,2500002,2.02808,2.25405,,
16,2625002,2.10631,2.16171,,
17,2750002,2.10004,2.15102,,
18,2875002,2.17354,2.23624,,
19,3000002,2.32346,2.27649,,
20,3125002,2.26296,2.28058,,
21,1310720,,,0.993907,1.11751
22,1572864,,,0.988174,1.08611
23,1835008,,,0.987112,1.14476
24,2097152,,,0.980833,1.03335
25,2359296,,,0.973801,0.967568
26,2621440,,,0.981851,0.978533
27,2883584,,,0.983448,0.974143
28,3145728,,,0.986229,0.985363
29,3407872,,,0.991531,0.983228
30,3670016,,,0.996274,1.00746
31,3932160,,,1.04105,1.07589
