,Memory usage,Prefix-BF,Prefix-QF
0,78861,0.666397,
1,157653,0.425344,
2,236442,0.272221,
3,315232,0.17877,
4,394023,0.113987,
5,472812,0.0790503,
6,551604,0.0511195,
7,630393,0.0347625,
8,709183,0.0224922,
9,787974,0.0152508,
10,866763,0.0102628,
11,945553,0.0076203,
12,1024343,0.00495729,
13,1103134,0.003339,
14,1181923,0.00240695,
15,1260710,0.00164902,
16,1339502,0.000983264,
17,1418293,0.000829629,
18,1497083,0.000583813,
19,1575871,0.000460905,
20,1654662,0.000194604,
21,1733452,0.00017412,
22,1812243,0.000204847,
23,1891032,0.00013315,
24,1969821,3.0727e-05,
25,524288,,0.284071
26,655360,,0.153748
27,786432,,0.0800746
28,917504,,0.0406416
29,1048576,,0.0199521
30,1179648,,0.0103448
31,1310720,,0.00532601
32,1441792,,0.00282688
33,1572864,,0.0013315
34,1703936,,0.000635025
35,1835008,,0.000358482
36,1966080,,0.000204847
