,Memory usage,Prefix-BF,Prefix-QF
0,60345,0.289705,
1,120609,0.0832397,
2,180878,0.0240731,
3,241143,0.00772138,
4,301409,0.00203248,
5,361676,0.000735369,
6,421941,0.000224696,
7,482208,2.04269e-05,
8,542475,4.08538e-05,
9,602740,0.0,
10,663005,0.0,
11,723272,0.0,
12,783540,0.0,
13,843804,0.0,
14,904071,0.0,
15,964336,0.0,
16,1024600,0.0,
17,1084870,0.0,
18,1145133,0.0,
19,1205398,0.0,
20,1265666,0.0,
21,1325930,0.0,
22,1386197,0.0,
23,1446463,0.0,
24,1506730,0.0,
25,131072,,0.289307
26,163840,,0.158115
27,196608,,0.0818711
28,229376,,0.041865
29,262144,,0.0211419
30,294912,,0.0108467
31,327680,,0.00540292
32,360448,,0.00285977
33,393216,,0.0013686
34,425984,,0.000674088
35,458752,,0.000347258
36,491520,,9.19212e-05
