,Memory usage,Prefix-BF,Prefix-QF
0,80640,0.507323,
1,161207,0.260162,
2,241772,0.13326,
3,322336,0.0678185,
4,402899,0.0361793,
5,483465,0.0195929,
6,564029,0.0100453,
7,644595,0.00553558,
8,725163,0.00307758,
9,805723,0.00182826,
10,886286,0.000832876,
11,966852,0.000426595,
12,1047418,0.000304711,
13,1127982,0.000152355,
14,1208543,0.000111727,
15,1289111,8.12562e-05,
16,1369677,0.0,
17,1450241,2.03141e-05,
18,1530802,2.03141e-05,
19,1611368,1.0157e-05,
20,1691932,0.0,
21,1772496,0.0,
22,1853064,0.0,
23,1933627,0.0,
24,2014187,0.0,
25,524288,,0.19404
26,655360,,0.102312
27,786432,,0.0524103
28,917504,,0.0264997
29,1048576,,0.0133463
30,1179648,,0.00661222
31,1310720,,0.00331119
32,1441792,,0.00146261
33,1572864,,0.000700835
34,1703936,,0.000253926
35,1835008,,0.000132041
36,1966080,,7.10992e-05
