,Memory usage,Prefix-BF,Prefix-QF
0,56773,0.0586094,
1,113470,0.00358102,
2,170165,0.000298418,
3,226862,0.0,
4,283558,0.0,
5,340254,0.0,
6,396948,0.0,
7,453648,0.0,
8,510342,0.0,
9,567037,0.0,
10,623733,0.0,
11,680430,0.0,
12,737125,0.0,
13,793818,0.0,
14,850515,0.0,
15,907212,0.0,
16,963907,0.0,
17,1020604,0.0,
18,1077300,0.0,
19,1133995,0.0,
20,1190692,0.0,
21,1247390,0.0,
22,1304084,0.0,
23,1360783,0.0,
24,1417477,0.0,
25,65536,,0.26419
26,81920,,0.142704
27,98304,,0.0726052
28,114688,,0.0378991
29,131072,,0.0192181
30,147456,,0.00999702
31,163840,,0.00480454
32,180224,,0.00223814
33,196608,,0.00125336
34,212992,,0.000537153
35,229376,,0.000179051
36,245760,,8.95255e-05
