,Memory usage,Prefix-BF,Prefix-QF
0,56773,0.01482,
1,113470,6e-05,
2,170165,0.0,
3,226862,0.0,
4,283558,0.0,
5,340254,0.0,
6,396948,0.0,
7,453648,0.0,
8,510342,0.0,
9,567037,0.0,
10,623733,0.0,
11,680430,0.0,
12,737125,0.0,
13,793818,0.0,
14,850515,0.0,
15,907212,0.0,
16,963907,0.0,
17,1020604,0.0,
18,1077300,0.0,
19,1133995,0.0,
20,1190692,0.0,
21,1247390,0.0,
22,1304084,0.0,
23,1360783,0.0,
24,1417477,0.0,
25,65536,,0.26248
26,81920,,0.14172
27,98304,,0.0732
28,114688,,0.0378
29,131072,,0.0187
30,147456,,0.00918
31,163840,,0.00438
32,180224,,0.00214
33,196608,,0.00098
34,212992,,0.00044
35,229376,,0.00026
36,245760,,8e-05
