,Memory usage,Prefix-BF,Prefix-QF
0,92124,0.325026,
1,184155,0.101028,
2,276188,0.0323426,
3,368219,0.0104608,
4,460254,0.00316025,
5,552287,0.00134011,
6,644317,0.000300024,
7,736350,0.000100008,
8,828382,8.00064e-05,
9,920416,0.0,
10,1012449,4.00032e-05,
11,1104480,0.0,
12,1196517,0.0,
13,1288549,0.0,
14,1380582,0.0,
15,1472615,0.0,
16,1564645,0.0,
17,1656679,0.0,
18,1748712,0.0,
19,1840745,0.0,
20,1932778,0.0,
21,2024813,0.0,
22,2116844,0.0,
23,2208877,0.0,
24,2300909,0.0,
25,262144,,0.278542
26,327680,,0.150672
27,393216,,0.0780662
28,458752,,0.0393431
29,524288,,0.0197016
30,589824,,0.0100008
31,655360,,0.00514041
32,720896,,0.0025202
33,786432,,0.00136011
34,851968,,0.000780062
35,917504,,0.000420034
36,983040,,0.000240019
