,Memory usage,Prefix-BF,Prefix-QF
0,90308,0.508349,
1,180528,0.262076,
2,270749,0.13674,
3,360970,0.0696577,
4,451191,0.0360045,
5,541411,0.0202015,
6,631632,0.0102527,
7,721853,0.0053103,
8,812077,0.00241523,
9,902296,0.00151951,
10,992517,0.000847729,
11,1082737,0.000223928,
12,1172961,0.000207933,
13,1263183,0.000255918,
14,1353403,4.79846e-05,
15,1443622,4.79846e-05,
16,1533844,3.19898e-05,
17,1624067,1.59949e-05,
18,1714287,1.59949e-05,
19,1804508,0.0,
20,1894729,0.0,
21,1984947,0.0,
22,2075171,0.0,
23,2165391,0.0,
24,2255615,0.0,
25,524288,,0.212252
26,655360,,0.112252
27,786432,,0.0577415
28,917504,,0.0296385
29,1048576,,0.0145234
30,1179648,,0.00713372
31,1310720,,0.00369482
32,1441792,,0.00171145
33,1572864,,0.00065579
34,1703936,,0.000319898
35,1835008,,0.000191939
36,1966080,,7.99744e-05
