,Memory usage,Prefix-BF,Prefix-QF
0,90308,0.555996,
1,180528,0.308475,
2,270749,0.171287,
3,360970,0.0941611,
4,451191,0.0528756,
5,541411,0.030971,
6,631632,0.0161301,
7,721853,0.00906634,
8,812077,0.00526698,
9,902296,0.00307241,
10,992517,0.00167336,
11,1082737,0.000822966,
12,1172961,0.000507496,
13,1263183,0.00031547,
14,1353403,0.000233174,
15,1443622,0.000137161,
16,1533844,5.48644e-05,
17,1624067,4.11483e-05,
18,1714287,5.48644e-05,
19,1804508,1.37161e-05,
20,1894729,1.37161e-05,
21,1984947,0.0,
22,2075171,0.0,
23,2165391,0.0,
24,2255615,0.0,
25,524288,,0.213093
26,655360,,0.114296
27,786432,,0.0590753
28,917504,,0.0297228
29,1048576,,0.0149643
30,1179648,,0.00770845
31,1310720,,0.00359362
32,1441792,,0.00164593
33,1572864,,0.000836682
34,1703936,,0.000370335
35,1835008,,0.000150877
36,1966080,,5.48644e-05
