,Memory usage,Prefix-BF,Prefix-QF
0,88895,0.643801,
1,177716,0.406015,
2,266538,0.247442,
3,355362,0.157999,
4,444183,0.0989263,
5,533003,0.0617406,
6,621825,0.0392131,
7,710649,0.0252217,
8,799471,0.0163254,
9,888293,0.0102434,
10,977114,0.00641547,
11,1065937,0.00434812,
12,1154758,0.00242748,
13,1243578,0.00156052,
14,1332403,0.000920307,
15,1421224,0.000573525,
16,1510047,0.000440147,
17,1598870,0.000226742,
18,1687691,6.66889e-05,
19,1776512,0.000133378,
20,1865333,5.33511e-05,
21,1954156,6.66889e-05,
22,2042975,1.33378e-05,
23,2131800,1.33378e-05,
24,2220624,2.66756e-05,
25,1048576,,0.175245
26,1310720,,0.0928443
27,1572864,,0.0484562
28,1835008,,0.0250083
29,2097152,,0.0124975
30,2359296,,0.00614872
31,2621440,,0.00316105
32,2883584,,0.00145382
33,3145728,,0.000853618
34,3407872,,0.000493498
35,3670016,,0.000186729
36,3932160,,9.33645e-05
