,Memory usage,Prefix-BF,Prefix-QF
0,96154,0.579228,
1,192206,0.338779,
2,288262,0.192975,
3,384314,0.11054,
4,480370,0.0632288,
5,576423,0.0376551,
6,672480,0.0207809,
7,768531,0.0124429,
8,864588,0.00749837,
9,960641,0.00382498,
10,1056694,0.00230898,
11,1152747,0.00134108,
12,1248806,0.000897938,
13,1344860,0.000548092,
14,1440912,0.0003032,
15,1536969,0.000174923,
16,1633021,8.16307e-05,
17,1729080,4.66461e-05,
18,1825133,3.49846e-05,
19,1921188,3.49846e-05,
20,2017240,0.0,
21,2113297,1.16615e-05,
22,2209348,1.16615e-05,
23,2305404,0.0,
24,2401458,0.0,
25,524288,,0.246257
26,655360,,0.131915
27,786432,,0.0682666
28,917504,,0.0344365
29,1048576,,0.016571
30,1179648,,0.00819806
31,1310720,,0.00413985
32,1441792,,0.00200578
33,1572864,,0.000967907
34,1703936,,0.000583077
35,1835008,,0.000233231
36,1966080,,9.32923e-05
