,Memory usage,Prefix-BF,Prefix-QF
0,90602,0.816215,
1,181125,0.570848,
2,271649,0.431509,
3,362175,0.328519,
4,452701,0.24569,
5,543223,0.187309,
6,633751,0.143336,
7,724274,0.106537,
8,814801,0.0819045,
9,905326,0.0625982,
10,995848,0.0469891,
11,1086375,0.0360246,
12,1176904,0.027417,
13,1267425,0.0214784,
14,1357950,0.0161752,
15,1448476,0.012686,
16,1538999,0.00957806,
17,1629527,0.00753304,
18,1720051,0.00604261,
19,1810574,0.00429799,
20,1901103,0.00344302,
21,1991624,0.00249561,
22,2082149,0.0019988,
23,2172676,0.00167529,
24,2263199,0.00140956,
25,1048576,,0.201971
26,1310720,,0.107115
27,1572864,,0.0554464
28,1835008,,0.0284684
29,2097152,,0.0146039
30,2359296,,0.00726731
31,2621440,,0.00383584
32,2883584,,0.00179083
33,3145728,,0.000935854
34,3407872,,0.000439042
35,3670016,,0.000242629
36,3932160,,0.000115537
