memoryUsage	FPR Prefix-BF	PF Prob BF	FPR Prefix-QF	FP Prob QF	SuRF Real
12502	0.998523	0.999999			
75002	0.656673	0.896851			
137502	0.440458	0.71034			
200002	0.331514	0.573373			
262502	0.261214	0.477445			
325002	0.216587	0.407978			
387502	0.11531	0.34215			
450002	0.0917822	0.281982			
512502	0.0728373	0.235857			
575002	0.0585411	0.199903			
637502	0.0313816	0.167695			
700002	0.0243593	0.139124			
762502	0.0199622	0.116534			
825002	0.0164401	0.0984825			
887502	0.00867397	0.0825358			
950002	0.00714262	0.068694			
1012502	0.00565503	0.0575803			
1075002	0.00430964	0.0485885			
1137502	0.00257047	0.0406884			
1200002	0.00225326	0.0339286			
1262502	0.00153134	0.0284514			
1325002	0.00119226	0.0239866			
1387502	0.000842239	0.0200745			
1450002	0.000470341	0.0167602			
1512502	0.000459403	0.0140584			
1575002	0.000284392	0.0118451			
1637502	0.000142196	0.00990858			
1700002	0.000142196	0.00827998			
1762502	9.84435e-05	0.0069466			
1825002	7.65672e-05	0.00585037			
1887502	2.18763e-05	0.00489215			
1950002	4.37527e-05	0.00409074			
2012502	4.37527e-05	0.00343249			
2075002	1.09382e-05	0.00288986			
2137502	2.18763e-05	0.00241584			
2200002	1.09382e-05	0.00202111			
2262502	2.18763e-05	0.00169608			
2325002	0	0.00142759			
2387502	0	0.00119314			
2450002	0	0.000998594			
1048576			0.142043	0.141911	
1310720			0.0744452	0.0736689	
1572864			0.0380976	0.037539	
1835008			0.019098	0.0189491	
2097152			0.00947245	0.00951984	
2359296			0.00462684	0.0047713	
2621440			0.00239546	0.0023885	
2883584			0.00121414	0.00119497	
220677					0.657056
233181					0.657056
245685					0.641852
258181					0.641852
270685					0.583409
283189					0.555418
295685					0.541363
308189					0.533662
320685					0.529309
