,n,q,QF size,BF size,QF FPR,BF FPR
0,26214,15,24576,16425,0.0955081,0.0919261
1,58982,17,98304,36953,0.0521961,0.0812731
2,91750,17,98304,57482,0.0797771,0.0807861
3,124518,18,196608,78010,0.0545401,0.0798241
4,157286,18,196608,98539,0.0685211,0.0795031
5,190054,18,196608,119067,0.0822201,0.0802971
6,222822,19,393216,139595,0.049358,0.0792061
7,255590,19,393216,160124,0.0564331,0.0794801
8,288358,19,393216,180652,0.0633471,0.0796711
9,321126,19,393216,201181,0.0701901,0.0795001
10,353894,19,393216,221709,0.0769631,0.0797721
11,386662,19,393216,242238,0.0837531,0.0792191
12,419430,19,393216,262766,0.0904781,0.0794081
13,452198,20,786432,283294,0.049766,0.0794931
14,484966,20,786432,303823,0.0533151,0.0792721
15,517734,20,786432,324351,0.0567781,0.0792751
16,550502,20,786432,344880,0.0603281,0.0791261
17,583270,20,786432,365408,0.0637701,0.0793991
18,616038,20,786432,385937,0.0671711,0.0792151
19,648806,20,786432,406465,0.0705961,0.0786361
20,681574,20,786432,426993,0.0740141,0.0796641
21,714342,20,786432,447522,0.0773751,0.0791271
22,747110,20,786432,468050,0.0807991,0.0792181
23,779878,20,786432,488579,0.0841941,0.0788921
24,812646,20,786432,509107,0.0875551,0.0788411
25,845414,20,786432,529636,0.0909971,0.0790771
26,878182,20,786432,550164,0.0942761,0.0791931
27,910950,21,1572864,570692,0.0501001,0.0790631
28,943718,21,1572864,591221,0.0519051,0.0787091
29,976486,21,1572864,611749,0.0536061,0.0796451
