,alpha,n,FPR,Query time
0,0.25,262144,0.0605591,9.05469e-08
1,0.28125,294912,0.0666141,8.89927e-08
2,0.3125,327680,0.0736201,8.9369e-08
3,0.34375,360448,0.0806762,8.92877e-08
4,0.375,393216,0.0877722,9.06069e-08
5,0.40625,425984,0.0946792,9.06741e-08
6,0.4375,458752,0.101725,9.30616e-08
7,0.46875,491520,0.108622,9.38317e-08
8,0.5,524288,0.115401,9.46004e-08
9,0.53125,557056,0.12222,9.50633e-08
10,0.5625,589824,0.128867,9.67959e-08
11,0.59375,622592,0.135402,9.95525e-08
12,0.625,655360,0.142025,9.9755e-08
13,0.65625,688128,0.148608,1.0208e-07
14,0.6875,720896,0.155,1.04928e-07
15,0.71875,753664,0.161283,1.08717e-07
16,0.75,786432,0.16785,1.11975e-07
17,0.78125,819200,0.174153,1.1881e-07
18,0.8125,851968,0.180337,1.25846e-07
19,0.84375,884736,0.186509,1.34578e-07
20,0.875,917504,0.192666,1.49129e-07
21,0.90625,950272,0.198849,1.63597e-07
22,0.9375,983040,0.204886,1.88388e-07
