,Memory usage,Splash y=0.8,Bloomed Splash height=7,Bloom Filter z=0.5,SuRF Real,FST
0,1413579,0.0,,,,
1,1283278,0.16071,,,,
2,1082221,0.377088,,,,
3,905113,0.542735,,,,
4,700765,0.703724,,,,
5,492415,0.835407,,,,
6,328255,0.914122,,,,
7,182418,0.956238,,,,
8,164210,0.960551,,,,
9,164210,0.960551,,,,
10,164210,0.960551,,,,
0,577410,,0.756649,,,
1,597529,,0.710941,,,
2,617649,,0.643185,,,
3,637767,,0.577,,,
4,657885,,0.519708,,,
5,678004,,0.468526,,,
6,698123,,0.42727,,,
7,718241,,0.389585,,,
8,738359,,0.360396,,,
9,758478,,0.332132,,,
0,50232,,,0.93418,,
1,100390,,,0.746131,,
2,150550,,,0.601499,,
3,200708,,,0.496854,,
4,250868,,,0.422183,,
5,301026,,,0.356578,,
6,351183,,,0.297598,,
7,401340,,,0.249847,,
8,451499,,,0.20886,,
9,501659,,,0.175541,,
0,164181,,,,0.966821,
0,1413548,,,,,0.0
