,Memory usage,Splash y=0.8,Bloomed Splash height=7,Bloom Filter z=0.5,SuRF Real,FST
0,1413579,2.0009e-05,,,,
1,1283278,2.0009e-05,,,,
2,1082221,0.000130059,,,,
3,905113,0.000410185,,,,
4,700765,0.00120054,,,,
5,492415,0.00815367,,,,
6,328255,0.0345856,,,,
7,182418,0.15562,,,,
8,164210,0.197129,,,,
9,164210,0.197129,,,,
10,164210,0.197129,,,,
0,577410,,1.00045e-05,,,
1,597529,,1.00045e-05,,,
2,617649,,0.0,,,
3,637767,,0.0,,,
4,657885,,1.00045e-05,,,
5,678004,,0.0,,,
6,698123,,0.0,,,
7,718241,,0.0,,,
8,738359,,1.00045e-05,,,
9,758478,,0.0,,,
0,50232,,,0.708889,,
1,100390,,,0.276064,,
2,150550,,,0.121625,,
3,200708,,,0.0636386,,
4,250868,,,0.0371267,,
5,301026,,,0.017668,,
6,351183,,,0.0104947,,
7,401340,,,0.0060027,,
8,451499,,,0.00411185,,
9,501659,,,0.00257116,,
0,164181,,,,0.197269,
0,1413548,,,,,0.0
